P52824	A0A0B4KHZ4
Q32NB8	Q8SYL0
Q9UBL3	Q94545
P61201	Q94899
Q92530	Q9V637
Q13617	Q9V9R2
Q9BUX1	Q9VCI9
Q8IY95	Q9VEH2
Q9H6L4	Q9VEV6
Q9NQT4	Q9VGZ2
Q6UB28	Q9VKV9
Q9H0R4	Q9VLM9
Q969U6	Q9VMI1
P40429	Q9VNE9
Q9H9T3	Q9VQZ6
Q13057	Q9VRP4
Q8NFJ9	Q9VS19
Q9UHV9	Q9VTE5
P41250	Q9VUK8
O95232	Q9W3X8
P33981	A0A0B4KG66
P12270	A1Z8P9
Q9H598	A1Z9M6
Q5SY16	A1ZA92
Q9BXF3	M9PEI6
P47989	P10351
P82251	Q8IR48
Q9BUE6	Q8T3X9
Q05048	Q9V9V0
Q96HU1	Q9VFB6
Q99437	Q9VFE3
Q9H4L7	Q9VL72
Q9BVV7	Q9VMR0
O43257	Q9VMV7
Q6YI46	Q9VNR8
P26440	Q9VSL9
Q92759	Q9VUR1
O15155	Q9VVX6
Q9NXR8	Q9VWS0
Q9NY27	Q9W2U4
Q96M98	A1ZBM4
Q9Y606	E1JIR1
Q9GZN1	P45890
Q8N878	Q07436
Q6P1N9	Q7JUN9
O95352	Q7JY94
Q9Y6G3	Q7K0A0
Q6KC79	Q7PLI2
Q8WWV3	Q8IPZ3
Q8IWY9	Q8T626
O75592	Q9NB71
Q7Z7G8	Q9VAD3
P62316	Q9VI10
Q9UJ71	Q9VIX1
Q9NZC9	Q9VMX6
Q92696	Q9VN77
Q96PZ0	Q9VSK9
Q8N4H0	Q9VVW9
Q5TBB1	Q9VYA4
Q9NX62	Q9VYF2
Q0VDI3	Q9VZK9
O94967	Q9W1G4
Q8WUX9	Q9Y124
Q9UBX3	Q9Y166
Q8NDH3	A0A0C4FEI8
O15258	A0A140SRF8
P56277	B7YZN8
Q9H6L2	M9PB43
Q96MW1	M9PD03
O00244	M9PD88
P40616	P25160
Q9H694	Q24009
Q6NXE6	Q7K486
O75347	Q9V9U7
Q14232	Q9VAD4
Q9H4I3	Q9VG01
Q6P1J9	Q9VHI1
Q9UHW5	Q9VI70
O75380	Q9VMU0
Q86YH6	Q9VP87
Q13435	Q9VQK7
O95568	Q9VQK8
Q9HD45	Q9VRN1
A6NLP5	Q9VU70
Q6R327	Q9VWJ6
Q9H1X3	Q9VXT2
Q8NBK3	Q9W0U6
Q6P161	Q9W2M8
Q14118	A0A0C4DHF6
Q969L4	A1Z8C4
Q13608	A1Z8D1
Q04446	A1Z992
Q9NPA0	A1ZA83
Q16878	A1ZBA8
P50914	P55841
P36404	Q06849
P16435	Q27597
Q9NS56	Q9V8P9
Q8N5K1	Q9VAM6
Q9UBV7	Q9VBZ9
Q8IXM6	Q9VEG9
Q8N2K1	Q9VEJ4
Q8WVC6	Q9VI57
Q8NBA8	Q9VI85
Q8N594	Q9VKJ1
Q8IWG1	Q9VS90
Q9H6F5	Q9VWF8
Q99698	Q9W060
P62699	Q9XZF0
Q15007	Q9Y091
Q96G25	A1ZBT5
Q14657	E1JIY8
Q13573	P39736
P62330	P40946
P49736	P49735
Q9BRP8	P82804
Q9H2X0	Q24025
A8MTA8	Q7JRP4
Q9BZE0	Q7K0S9
Q13356	Q7K231
Q32P41	Q8IRE4
Q6DKK2	Q8SYD0
Q9P0J6	Q9I7Q9
P55769	Q9U3Z7
Q5T655	Q9VB72
Q6T4R5	Q9VE13
Q01658	Q9VJQ5
Q9HCE5	Q9VLP7
Q6UN15	Q9VN31
Q9C0J8	Q9VNG2
O43172	Q9VVI0
Q9NUQ8	Q9VW13
Q8WXG6	Q9VXY2
Q14061	Q9VXY5
Q96L92	Q9W486
Q96S15	Q9XZ25
P46087	A1Z909
Q96BH1	A1Z9I6
Q9Y618	M9PGZ8
P09958	P26016
O60760	P41043
P52732	P46863
P00441	P61851
Q9UM54	Q01989
P55884	Q0E940
Q96K21	Q4QQ70
Q53FP2	Q8T0T9
Q06265	Q8T4A9
Q13418	Q9V400
P42768	Q9VAT0
Q8N2C7	Q9VB11
A0AVF1	Q9VF41
A1L162	Q9VFH8
Q6P2E9	Q9VKK1
P54578	Q9VKZ8
Q5SZD4	Q9VLU3
Q8NFF2	Q9VN12
Q13535	Q9VXG8
O60942	Q9VY44
Q14694	Q9W0L7
Q6AI08	Q9W5D3
Q15061	A1Z7K2
O14802	A8JUY3
Q96AT1	B7Z0I5
O15431	M9NE97
O95071	P51592
Q96EY1	Q27237
Q9NWL6	Q5LJP9
Q92805	Q7K4K7
Q9NX70	Q7KBL8
Q9NVD3	Q7KVB0
Q86TD4	Q8I0D4
P30044	Q960M4
Q01664	Q9V406
Q8N5C7	Q9VAL1
Q96HY6	Q9VDD1
Q8N8R5	Q9VE69
O75486	Q9VGE2
Q9H098	Q9VIJ3
Q9Y2R9	Q9VKX4
Q8N0X7	Q9VN45
Q96ND0	Q9VR55
Q9H4Q3	Q9VRV0
P0DTL6	Q9VZV5
Q9H147	Q9VZY7
Q96HR3	Q9W0P3
Q9H3E2	Q9W3N0
Q8WUA2	Q9XYZ6
Q6PID8	A1ZB86
P54198	O17468
Q6ZRQ5	O46089
O14905	P40589
P25398	P80455
Q92990	Q7JRC9
Q96EE3	Q7K2X8
Q14894	Q8SY58
Q14566	Q9V461
P11279	Q9V9S0
O94941	Q9VA79
O95391	Q9VAQ7
Q9Y221	Q9VC28
Q96SB8	Q9VCB8
Q9HCE0	Q9VE34
Q9UJT9	Q9VF10
Q9Y265	Q9VH07
Q9UGI0	Q9VH90
Q99805	Q9VIK1
Q9NX31	Q9VKY0
O75533	Q9VPR5
Q9Y2W6	Q9VQ91
O94880	Q9VQZ8
Q7Z6M2	Q9VST7
Q8TBB5	Q9VTZ7
Q8IY81	Q9VXK5
Q9H0G5	Q9VYE3
Q15005	Q9VYY2
Q9P2L0	Q9W097
C9J069	M9PDE6
Q96RQ1	O76896
P05455	P40796
Q96SN8	P54623
Q9H0I2	Q6NMT8
Q9C0B0	Q86B79
Q9HB07	Q8INP9
Q96GX5	Q95TN8
Q96FX7	Q9VBH7
P21359	Q9VBJ2
Q86U86	Q9VC36
Q14247	Q9VDF4
Q9BV10	Q9VH78
O75716	Q9VI84
O00311	Q9VJ90
Q9Y4Z0	Q9VKW8
Q96QE5	Q9VNR9
Q96N11	Q9VPF9
O75792	Q9VPP5
P49591	Q9VQL1
Q96E11	Q9VSW4
O15212	Q9VW56
P24752	Q9W3N9
Q5SGD2	Q9XZ28
P60900	Q9XZJ4
Q01433	X2JEY5
Q9H9A6	A0A0B4KG03
Q69YN2	A1Z8J0
Q86WQ0	A2VEK1
Q9Y4D1	M9MSM5
Q8N5I2	Q0E8K8
Q8NCM8	Q0E8P6
Q9H0Y0	Q4V6A8
Q9BRG1	Q7JXV9
P60468	Q7JZN0
Q9BV19	Q8INX1
Q9NUP7	Q8SX24
Q9BYG3	Q9VCY1
Q9P1U0	Q9VD81
Q86VD7	Q9VDL7
Q5TC63	Q9VEY4
Q15543	Q9VIP1
Q9BRU9	Q9VQ40
Q8IVS8	Q9VQC4
O75083	Q9VU68
Q8IV42	Q9VWF7
Q9Y450	Q9W074
Q9NZ63	Q9W0A9
P53621	Q9W0B8
Q9BSG0	Q9W1W9
Q69YW2	Q9W2E1
O75394	Q9W4L1
Q9Y2I9	A0A0B4LH08
P17405	D6W4U0
Q9BPU9	M9MRD5
Q13485	O62609
P00403	P00408
Q9Y466	P18102
O75808	P27398
P19447	Q02870
Q9NZ56	Q24120
Q14137	Q7K0Y1
Q9UBT2	Q7KUA4
Q9BRN9	Q9U4H5
P83436	Q9VAD6
Q9UNX4	Q9VE98
Q14008	Q9VEZ3
Q6PJI9	Q9VKK2
P48728	Q9VKR4
Q14703	Q9VP10
Q9BR61	Q9VRG6
O60826	Q9VVB4
Q2M389	Q9VXH9
Q8IVN8	Q9VZ43
O75648	Q9W5B6
Q96JN8	A0A1L4AAD6
Q9Y5Q5	A1Z709
Q13685	M9NE98
Q96T52	Q4QQ12
Q9UMS4	Q7KLW9
P20155	Q8IPA4
Q0P651	Q8IQI5
O43324	Q8MKK1
Q9NWK9	Q8SX25
Q9Y256	Q9U1H8
Q15084	Q9V438
P30531	Q9V4E7
Q99598	Q9VF77
Q9BYD6	Q9VHT5
Q9H469	Q9VMY0
Q96SQ7	Q9VPI8
Q96K37	Q9VR50
Q6PKC3	Q9VSG9
Q05932	Q9VYL1
P18858	Q9W1H4
Q9H8X2	Q9W2Q7
Q9BVI4	Q9W4R1
Q14BN4	Q9W5R5
Q13867	X2JEJ0
Q9H330	A0A0B4K6B9
O75626	M9PBR0
P60510	O76932
P27708	P05990
Q16514	P49905
Q92600	Q7JVP2
Q8N9N2	Q7JW66
Q9Y5B9	Q8IRG6
Q9UJA5	Q8MS69
Q8N4V2	Q8SYM5
Q9NZN8	Q94547
Q58A45	Q95RR8
O95816	Q95RY2
Q15008	Q9V3G7
Q9NX24	Q9V3U2
O75694	Q9V463
P82650	Q9VAY9
Q8IZL9	Q9VD82
P78316	Q9VEJ2
P82912	Q9VEN6
Q9NQC8	Q9VJ72
O14672	Q9VJW9
Q6UWS5	Q9VPN3
P49354	Q9VR31
Q9NUP1	Q9VTC2
Q9BYC9	Q9VU36
Q6ICL3	Q9VYA8
Q16540	Q9W021
P62750	Q9W0A8
Q14376	Q9W0P5
Q92878	Q9W252
Q13637	A1Z7S3
Q5SNT2	A1ZBL2
Q96EK9	O46079
O43504	O96824
Q9Y2I7	O96838
Q96T76	Q95U54
Q14728	Q9V395
O75582	Q9V3I5
Q96DB2	Q9VC26
P62861	Q9VDH8
P51688	Q9VE24
Q9BT22	Q9VEE9
Q6TCH7	Q9VFG7
Q5RI15	Q9VG00
P0DPB6	Q9VIZ0
Q8TBP0	Q9VKV6
Q9H4K7	Q9VLN0
P52434	Q9VNZ3
O95831	Q9VQ79
Q15257	Q9VQQ0
Q8N442	Q9VRH6
Q8IV38	Q9VTB0
Q05086	Q9VTH1
Q9UGB7	Q9VTU9
Q92664	Q9VXB4
Q08379	Q9W289
P21549	Q9W3Z3
Q92858	Q9Y0A7
P17174	A1ZAA5
P35606	O62621
Q96RY5	O76906
Q9BW85	Q7JVH0
Q9BZV1	Q7K0S5
Q86U42	Q7KNF2
P53007	Q7KSQ0
Q8IXM2	Q8IPA8
Q15814	Q95TP0
Q9NPB0	Q9VBW0
Q9BY42	Q9VKR2
O60925	Q9VMH8
Q96A35	Q9VMY1
Q9Y394	Q9VQ39
Q9NRR6	Q9VTW2
Q07326	Q9VW21
Q9BSB4	Q9VWQ1
Q9UJ41	Q9W0H9
Q9NW13	Q9W124
P62312	Q9W2P5
Q9Y4K3	Q9W3I9
P0DPD5	O96395
O15235	P10735
Q9UQ84	Q24558
P37287	Q7JUM3
Q4ZIN3	Q7K4L9
O76024	Q8IMZ9
Q8NC60	Q8SZ15
Q9HD33	Q8T3V6
P24539	Q94516
Q96JB5	Q95SK3
Q9H9A5	Q9V3G6
Q9Y2V7	Q9V564
Q96NB3	Q9VBY5
Q9P2C4	Q9VD53
Q16585	Q9VG77
Q7Z4Q2	Q9VI15
Q9P2H3	Q9VII8
Q12789	Q9VJY7
Q8IVB5	Q9VKY1
Q8IYB8	Q9VN03
P50219	Q9VSC2
Q9BT30	Q9VTP1
Q9UGM6	Q9VVL8
Q8NBR0	Q9VZX8
Q9NQX5	Q9W0Z5
Q92541	Q9W261
Q5TB80	Q9W474
Q96LD8	E1JH43
P00395	P00399
P60953	P40793
O95202	P91927
P35240	Q24564
P51397	Q7JRC0
Q9UBP9	Q7JUY7
Q13686	Q7KUZ2
P49247	Q8MLS2
Q9Y3C5	Q8SX35
Q9P2W3	Q9NFZ3
Q10570	Q9V726
Q9H9F9	Q9VEC3
Q5W111	Q9VED7
Q2M3R5	Q9VGN6
Q96HH4	Q9VGV1
Q96FZ2	Q9VHI3
Q9Y296	Q9VLI9
P53999	Q9VLR5
Q9UMR3	Q9VMR2
Q9NX47	Q9VN18
Q9NW81	Q9VPC1
Q9UPT5	Q9VSJ8
Q9UKA2	Q9VY46
Q6ZNB6	Q9VZF2
P16930	Q9VZI8
P82673	Q9VZX6
Q8N6V9	Q9W144
Q9BVK2	Q9W3V8
O00471	Q9XTM1
P33993	Q9XYU0
Q8TCJ2	Q9XZ53
P42285	Q9Y134
Q9UL12	A1ZAZ2
Q96PH1	A8DWJ8
Q9NP50	A8JUX7
Q9NNZ3	P92029
Q6PGP7	Q6NNB2
Q6PD62	Q7K0X3
Q9Y6D9	Q7KND8
Q8TEA1	Q8IPS4
Q16775	Q8IPU3
Q9H1X1	Q8T3V7
P63272	Q9TVQ5
Q9BSC4	Q9V3P2
Q14CX7	Q9VDQ7
Q9H0S4	Q9VIF6
O60231	Q9VIZ3
P42765	Q9VL70
Q9H8P0	Q9VLP9
P32754	Q9VPF3
P62495	Q9VPH7
P31948	Q9VPN5
O43617	Q9VSY8
Q9NVH2	Q9VT41
Q8TES7	Q9VTN6
A5D8V7	Q9VTQ3
Q15428	Q9VU15
Q9Y282	Q9VUM3
Q13901	Q9VXL4
Q4AE62	Q9VXN0
Q96F25	Q9VXU7
Q96MC2	Q9W3J8
Q5VTH2	Q9W4I5
Q9BYV1	A8E6R2
O75396	M9PGI6
P61599	M9PI14
P25789	P18053
P23396	Q06559
P62256	Q7JW03
Q9Y2I1	Q7K490
Q96ER3	Q7K4H1
Q92560	Q7K5N4
P07949	Q7KT06
O43716	Q86BL4
P35659	Q8T0D3
P55735	Q9V3J4
P52948	Q9VCH5
Q9P2D8	Q9VDY5
Q9UPM9	Q9VF59
Q9NTM9	Q9VF71
P18583	Q9VHB0
Q3MIT2	Q9VPK7
Q96IC2	Q9VRX7
P49366	Q9VSF4
P22695	Q9VV75
P61927	Q9VXX8
O60763	Q9W3N6
P57081	Q9W415
Q9Y5K5	Q9XZ61
Q9NR09	A0A0B4KG50
P26367	A0A6H2EG63
Q8WVF1	A1Z8T6
Q99583	M9NGP0
P42356	M9PDM4
Q9UBN7	M9PJN5
Q86W56	O46043
P06493	P23572
Q02127	P32748
P36954	P36958
Q70EL1	Q1W9P9
Q9UNN5	Q7JUP3
P0C7P0	Q8SYQ8
Q9H7X0	Q95SX8
Q6PJT7	Q9V3H9
Q9BV81	Q9VBZ8
Q17RM4	Q9VCV8
Q6P587	Q9VDE2
Q99614	Q9VEV3
Q5T4D3	Q9VF81
Q32M88	Q9VKD9
Q9Y3C0	Q9VLT8
Q9Y2Z9	Q9VMQ5
O95714	Q9VR91
O14949	Q9VVH5
Q9NXF1	Q9W3K4
Q92506	Q9W4U2
Q9GZS3	Q9XZ19
Q96PE2	A0A0B4K6L3
O60313	A1Z9N0
Q3SYG4	B7YZM8
O43670	M9PBC6
O14512	M9PHY7
P03915	P18932
O43809	Q0E8G6
Q12824	Q24090
P62841	Q7JZW2
O43143	Q7K3M5
Q00341	Q7KN75
Q8IXL7	Q8INK9
Q9NRN9	Q8MSW4
Q92993	Q960X4
O14964	Q960X8
Q92504	Q9V3A4
Q8TBC4	Q9V6U8
Q9H488	Q9V6X7
Q5QP82	Q9VAT2
P49441	Q9VFP6
Q9UI95	Q9VNE1
Q9Y2E8	Q9VPJ1
Q07020	Q9VS34
Q8NBZ7	Q9VSE8
Q9H974	Q9VSZ6
Q07912	Q9VZI2
Q5SQH8	Q9W1F2
O95166	Q9W2S2
Q7L8L6	Q9W2T3
Q969N2	Q9W3G0
Q68CP4	Q9W4F7
P36578	P09180
P03897	P18930
P09874	P35875
P47914	Q24154
P48047	Q24439
P52429	Q7K579
Q9HCG7	Q7KT91
Q9BQ95	Q9U6M0
Q9UNP9	Q9V3G3
Q96NY9	Q9V3T1
Q9NQ40	Q9V9S9
Q6ZNE5	Q9VAP6
Q8TB61	Q9VEI3
O94889	Q9VGE5
Q96BW5	Q9VHF2
Q8N6R0	Q9VIK9
O75391	Q9VIL2
Q9HCU5	Q9VMH4
Q7Z7H8	Q9VPL3
O14681	Q9VR33
Q16851	Q9VSW1
Q86YT6	Q9VUX2
Q14692	Q9VVC9
Q96MF7	Q9VVH7
Q9BX74	Q9W2H1
Q9P2K8	A0A0B4KHX7
P83369	A1Z802
Q6TDU7	A8JUM9
Q9HAB8	E2QD26
O43542	O77135
Q9Y2R0	P0DKM0
P03886	P18929
P32929	Q7JXZ2
Q99836	Q7K105
Q9Y315	Q7K209
Q03426	Q7K2V9
Q96QU1	Q9VAF5
Q5BKU9	Q9VBA6
Q5JU00	Q9VEH4
Q6P9B9	Q9VFS6
P62273	Q9VH69
Q96JX3	Q9VJ64
O75531	Q9VLU0
Q96JY0	Q9VNS0
Q9UI30	Q9VP65
Q8WUQ7	Q9VR99
P30260	Q9VS37
Q9UK59	Q9VSD7
P23511	Q9VSY9
P56589	Q9VUL8
Q5JU67	Q9VWA6
P55081	Q9W062
O94923	A1Z6M8
Q9UPN4	A1Z7Z9
P58658	H1UUM0
Q9H7Z6	O02193
Q96DF8	O44424
P27797	P29413
Q02252	Q7KW39
Q9NQT5	Q8IPX7
Q9H2U1	Q8SWT2
Q15022	Q9NJG9
O15527	Q9V3I8
Q9Y617	Q9VAN0
Q9UNQ2	Q9VAQ5
O60524	Q9VBX1
P55039	Q9VDV2
Q8N1B3	Q9VE72
Q9NVM6	Q9VGR0
P33992	Q9VGW6
Q9GZL7	Q9VKQ3
Q16740	Q9VKY3
Q9ULT8	Q9VL06
Q5CZC0	Q9VPM3
Q8TCT9	Q9VPQ7
Q8N1V2	Q9VS00
P09417	Q9VSU6
Q9Y3A0	Q9VVG6
O43313	Q9VZU1
Q99459	Q9W0R0
Q8N5G2	A0A0B4KEW2
Q9UK39	A8JQX3
Q7RTS1	B6VQA1
Q9UBB4	B7YZJ4
P52594	E1JHR0
Q8N183	M9NEW0
Q49AR2	M9PI97
O00442	O77264
Q9NV31	Q7JZ53
Q9BW61	Q8IP73
Q8NEN0	Q8IR94
Q6ZNA5	Q8MSU3
P62266	Q8T3U2
Q15831	Q8T9L5
Q4ADV7	Q9V3C5
Q9UBS5	Q9V3Q9
Q9Y2L1	Q9VC93
Q7Z7F7	Q9VE04
Q7RTV0	Q9VMC8
Q9BUN8	Q9VQ57
Q9Y5L0	Q9VQG0
P0C870	Q9VU77
O75575	Q9VX99
Q8WWC4	Q9W0X3
P56134	Q9W141
P63173	Q9W5N2
O60832	O44081
Q7L211	O76462
O15230	Q00174
Q9HA77	Q7K3P0
P18074	Q7KVP9
Q6P5S7	Q8MSF5
Q8N5N7	Q9V3E3
Q9NZC3	Q9VEU9
Q96P70	Q9VGP4
Q8NEW0	Q9VGS1
Q9BQA1	Q9VIP8
Q96G46	Q9VIS4
P46060	Q9VIW3
Q9BUQ8	Q9VJ74
Q9UHN1	Q9VJV8
Q9HD20	Q9VKJ6
Q96FV9	Q9VNI8
Q9UQ80	Q9VRP2
P28328	Q9VSH8
Q6P1A2	Q9VVX5
Q6PL24	Q9VWD5
P46779	Q9VZS5
Q13630	Q9W1X8
P49959	Q9XYZ4
A5YKK6	A0A0B4LEZ3
Q9NQG7	A1ZAX8
Q3L8U1	B7Z002
Q96PU8	O01367
P11586	O96553
P38646	P29845
Q09028	Q24572
Q9NQS7	Q7JRJ9
O75844	Q7K172
Q9H6R4	Q8IH00
Q9UNS2	Q8SYG2
Q99567	Q9GYU8
Q8WWL7	Q9I7I0
P62875	Q9VC49
Q5MNZ6	Q9VHJ2
Q9Y6H3	Q9VJD0
Q7Z3U7	Q9VLT1
Q15291	Q9VPH8
O75554	Q9VPU4
Q9BXR0	Q9VPY8
Q9Y5N5	Q9VQF8
Q86UC2	Q9VRY7
Q86XP3	Q9VTC1
Q9NUQ7	Q9VUR0
Q6IAA8	Q9VW73
O60841	Q9VZP5
Q14667	Q9VZS7
O60683	Q9W0D7
O15116	Q9W2K2
Q9NZ71	Q9W484
Q8N957	X4YX01
Q969X6	M9PFG1
O14757	O61661
Q00535	P48609
Q86U38	Q7JX95
O43159	Q7K2B0
Q9NRF9	Q9V444
P25788	Q9V5C6
Q9BYD2	Q9VF89
Q8N6T7	Q9VH08
Q7L590	Q9VIE6
O76021	Q9VLK2
Q93100	Q9VLS1
P62341	Q9VMV6
Q96AJ1	Q9VR64
Q9Y4Y9	Q9VRT7
O43674	Q9VTU2
P80404	Q9VW68
Q8WTW4	Q9VXA0
A6NMT0	Q9W064
Q9BU61	Q9W1H9
Q15046	Q9W327
O43909	Q9XZ08
Q53S58	A1Z9W2
Q14686	A8DYV5
O75874	B7Z0E0
Q9Y3M2	B9A0M5
Q6UUV9	M9PFU2
Q6IA86	Q7K4B3
Q92667	Q7KVW1
Q9Y259	Q8IMF4
Q68D10	Q8IMP6
Q96EP0	Q8IPJ3
P57054	Q8MSE4
O00567	Q95WY3
Q9GZT8	Q9NK57
O14980	Q9TVM2
Q9P2I0	Q9V3D6
Q02978	Q9VAJ9
P46199	Q9VAV2
Q9H6U8	Q9VBV8
Q9GZV3	Q9VE46
Q86X83	Q9VEB2
Q9H1K1	Q9VHK6
Q15648	Q9VP05
P56282	Q9VRQ7
O95980	Q9VUJ2
Q53GS9	Q9VWP1
Q7Z7C8	Q9VWY6
Q8N4W6	Q9VX95
Q70CQ3	Q9W462
P61421	Q9W4P5
P12004	P17917
P30793	P48596
P52657	P52656
Q6NZY4	Q2PE14
Q10713	Q7K3W2
Q86XL3	Q8MQX9
P20674	Q94514
Q9BYD3	Q9V3D0
Q9NRG0	Q9V452
P51610	Q9V4C8
Q5JRX3	Q9V9E3
P46778	Q9V9M7
Q9NR71	Q9VA70
Q9Y573	Q9VK21
Q8N5A5	Q9VL59
Q9UL16	Q9VNU3
Q9Y6N5	Q9VZF6
Q969V5	Q9VZJ9
Q15286	Q9W5X0
Q8IWL3	A8JNT7
Q96TA2	F3YDF1
O60336	M9PB01
P61026	O15971
O95985	O96651
Q8N531	Q494G8
Q9P2R7	Q95U38
P29144	Q9V6K1
Q9H5X1	Q9V968
Q9Y3D5	Q9VA81
Q96EK6	Q9VAI0
P12694	Q9VHB8
Q9BRX9	Q9VJL9
Q96C86	Q9VNH5
Q8IY84	Q9VPW3
Q5NDL2	Q9VQB7
Q6UW68	Q9VRE4
O95749	Q9VS54
P52701	Q9VUM0
P45954	Q9VVU1
Q1RMZ1	Q9W138
O75312	Q9W379
P48506	Q9W3K5
Q92979	Q9W4J5
P01106	Q9W4S7
Q567U6	A1ZAC7
Q08211	P24785
P56706	P28465
Q9Y295	P32234
P39656	Q24319
Q9UI26	Q7K0Q2
Q6W5P4	Q868T3
Q92621	Q8IQV9
Q86U90	Q8SYJ9
O43513	Q9GYV9
P39210	Q9V492
Q969W1	Q9VB73
Q9H1D9	Q9VD25
Q96CT7	Q9VE08
Q9BQ65	Q9VHB3
Q8N766	Q9VHY6
P42704	Q9VJ86
Q8TEQ0	Q9VK31
Q96DZ1	Q9VKC7
Q7Z7M0	Q9VLT6
Q12981	Q9VNI9
Q96MR6	Q9W235
Q16595	Q9W385
Q8WVI0	Q9W3T5
Q8TBE9	Q9W481
Q9BS18	A0A0B4KEY8
Q96EV2	A0A6H2EEJ8
P00747	A1Z7M5
Q8NBZ0	A1Z8D5
O75534	B7Z0E2
P0DJ93	E1JI98
P54098	Q27607
Q9NVH1	Q7K0W1
Q9P0M9	Q86BM8
Q7L5Y9	Q8MSB1
O00258	Q8T481
Q9BTT4	Q9GYU7
P13010	Q9I7M8
Q9NQZ2	Q9I7W5
Q9NTJ3	Q9V3A7
Q8N653	Q9V410
O94762	Q9V433
Q9P2E3	Q9VCB7
Q86U44	Q9VCE6
Q9P032	Q9VH39
O00566	Q9VLK1
Q9BTE3	Q9VM60
Q5VIR6	Q9VQY8
O14730	Q9VR42
P11310	Q9VSA3
Q9BRS2	Q9VTL5
Q5D0E6	Q9VXT0
Q96IV6	Q9VYD2
P18887	Q9Y095
Q12904	A1Z7K8
P62328	O97428
P24863	P25008
P35251	P35600
P47756	P48603
P18615	P92204
Q16543	Q24276
Q9NV56	Q7K003
Q8IUR0	Q7K2Q8
Q92902	Q7K3N1
O95347	Q7KK96
Q96KF7	Q8IPS9
Q9UID3	Q8MSY4
Q9UJV9	Q9V3C0
Q9BZE4	Q9V411
O95861	Q9VAG9
Q14749	Q9VG42
Q96LL9	Q9VHW5
Q6PI26	Q9VI74
Q8N5M1	Q9VID7
Q63HM1	Q9VMC9
Q9ULD6	Q9VPH0
Q9NRP0	Q9VQP9
Q9BZE7	Q9VSS7
P14550	Q9VTL0
Q6UX04	Q9VTN7
Q99436	Q9VUJ1
Q9NV06	Q9VUN7
Q969H6	Q9VVE0
P04181	Q9VW26
Q8NFH5	Q9VWS2
Q96M20	Q9VXK3
Q9Y3F4	Q9W1N4
P22087	Q9W1V3
Q9BVC4	Q9W328
Q8IZE3	A1Z6G6
Q5T280	A1Z830
Q8WV07	A1Z8U7
O95478	O76994
P41223	O97454
Q71DI3	P02299
P08922	P13368
Q15542	P49846
Q15406	Q05192
P11177	Q7K5K3
Q9UKZ1	Q8MLP8
Q9H9E3	Q95TN4
Q9NQW6	Q9V4P1
Q96S52	Q9VC10
P23352	Q9VCC7
Q9H0D6	Q9VM71
Q8NDC4	Q9VN91
Q9HBG6	Q9VSJ6
Q7RTT9	Q9VU20
Q8NDM7	Q9VU57
Q9HBL7	Q9VY41
O43808	Q9VZD9
Q9HAU5	Q9W3L1
O15498	Q9W3M8
Q53GQ0	Q9W3N1
Q96PB1	Q9W4P0
Q9BRS8	A1Z9R1
P11413	P12646
Q15147	P13217
P07237	P54399
P12956	Q23976
Q92838	Q8MUJ1
Q7L8J4	Q9V785
Q9BU89	Q9V9U4
Q9Y6A9	Q9VAL0
Q9UIL1	Q9VB51
Q9BTY7	Q9VBG6
Q96T60	Q9VHS0
P55157	Q9VIH3
O00541	Q9VL96
Q9H3C7	Q9VNG1
O43246	Q9VPG2
Q8NFU5	Q9VPR6
Q14D04	Q9VS24
Q96AY4	Q9VSK6
Q9UJU6	Q9VU84
Q16821	Q9VVY3
Q9BYN0	Q9VX10
Q9Y2R5	Q9W199
Q5TH69	Q9W444
P26640	A0A0B4KF06
P49750	M9NGY4
P53350	P52304
Q9H7D7	Q7K0L4
Q7L8W6	Q8MRI4
Q5T160	Q8SXK2
Q96H20	Q9VD72
Q9NP81	Q9VF85
Q8WVQ1	Q9VGN8
Q86XK2	Q9VH60
Q8TDM6	Q9VKG8
O95251	Q9VM15
Q9NR19	Q9VP61
Q6XQN6	Q9VQX4
Q9Y496	Q9VRK9
O75027	Q9W0C5
Q9BR09	Q9W112
O94763	Q9W148
Q8NBI6	Q9W1D1
Q9UI10	Q9W1Q8
Q86TU7	Q9W3U1
Q8N9Q2	Q9W3Z5
Q8TEA7	Q9W4F8
Q8IVI9	X2JAX8
Q86XE3	A0A0B4KHF1
Q9NVI1	A1Z7L1
Q9BQA5	O77260
P78367	P22809
Q13309	Q7YZ95
P61106	Q86BK8
P62310	Q8IMX8
Q6P1X6	Q8MKL1
O75586	Q8MSX2
Q9NRP4	Q8SZ16
Q9HCC9	Q9VB70
Q969Y2	Q9VC87
P48507	Q9VCW6
Q9NQZ5	Q9VJZ2
Q8WVE0	Q9VMH7
Q8TAM2	Q9VPP9
O60783	Q9VWI3
Q9NQZ6	Q9VX94
Q7L266	Q9VXT7
O14841	Q9W247
Q9UJX3	Q9W3Y6
Q6P1L8	Q9W4Z2
Q9Y4E6	Q9W543
Q96IL0	Q9W549
P50747	A0A0B4LGM5
O00400	A0A4D6K3L8
Q9Y3D6	B7YZT2
Q9BWU0	E2QCZ5
Q96BW1	M9PHI7
P24534	O96827
P00156	P18935
Q16891	P91928
P11498	Q0E9E2
P84090	Q24337
P04844	Q7K110
Q9BWF2	Q7K2X1
P49754	Q7PL76
P49321	Q9I7K6
