X6R8D5	A0A8V1AC92
P48067	A0A8V0ZVW9
P48147	A0A8V0YJW4
P48163	A0A8V0XF04
P48167	F1P037
P48169	A0A8V0YKW6
P48201	A0A8V0ZQU4
P48230	E1C345
P48307	A0A3Q3A7D8
P48357	A0A8V0ZR35
P48378	A0A8V1ADK6
P48380	A0A8V0YBC8
P48382	A0A8V1AGJ3
P48436	P48434
P48444	Q5ZL57
P48449	A0A8V0YMK4
P48506	F1NQZ9
P48507	A0A8V0ZPB9
P48509	A0A8V0ZKN6
P48539	A0A8V0YEQ6
P48544	F1P3M0
P48547	A0A8V0ZS84
P48551	A0A8V0YD02
P48552	R4GIS3
P48553	A0A8V0Y733
P48556	A0A8V0Y2J6
P48637	A0A8V0ZV37
P48643	Q5F411
P48645	F1NEH2
P48664	A0A8V1A9T0
P48681	A0A8V1AG21
P48723	A0A8V0XPG2
P48729	P67962
P48730	A0A8V1AFH3
P48735	A0A1D5P8I7
P48736	A0A8V0XVL2
P48739	A0A8V0ZNT8
P48740	A0A8V0YTQ9
P48751	E1C314
P48764	A0A8V0XVJ9
P48775	A0A8V0XRX0
P48995	Q6DMS2
P49005	A0A8V0Z2P7
P49006	Q5ZKS0
P49023	P49024
P49069	Q90700
P49116	A0A3Q2U2X9
P49137	F1NCY7
P49146	Q9DDN6
P49189	A0A8V0Y9P9
P49207	A0A8V0XI58
P49221	A0A1D5P5P9
P49238	A0A8V0Z0U7
P49247	A0A8V0YXX3
P49257	Q5F3E6
P49279	P51027
P49286	A0A0A0MQ60
P49321	A0A8V1A5R8
P49335	A0A8V0ZAA8
P49336	A0A8V0XNJ2
P49354	A0A8V0YNE3
P49356	A0A1L1RSD4
P49368	A0A8V1ACX6
P49406	A0A8V0XZI9
P49407	A0A8V0XCX3
P49411	P84172
P49418	P50478
P49419	A0A8V0X4A6
P49427	F1NL19
P49441	A0A8V0ZXZ7
P49447	E1C8U5
P49450	Q6XXM1
P49454	A0A8V0Z9Z7
P49458	Q5ZHT7
P49459	Q9W6F3
P49585	A0A8V0YIW5
P49588	A0A8V0ZSD4
P49591	A0A8V1A7D7
P49593	A0A8V0ZS02
P49638	A0A8V0XF74
P49639	R4GHI8
P49640	A0A8V0X641
P49641	A0A8V0X4B9
P49642	A0A8V1A9G5
P49643	A0A8V0X537
P49674	Q5ZLL1
P49685	A0A8V0XT78
P49715	Q90582
P49716	A0A1D5PZE5
P49720	A0A8V0ZNX9
P49721	A0A8V0YQV8
P49736	A0A8V1AFJ9
P49747	A0A8V1AFJ0
P49750	A0A8V0XWJ5
P49754	A0A1D5PZF2
P49755	F1NA76
P49756	A0A8V0ZFJ7
P49757	A0A8V0ZGI6
P49758	A0A8V0ZBT4
P49760	Q5ZJ82
P49761	F1NLR7
P49763	A0A8V0XX29
P49767	A0A8V0XD22
P49770	A0A8V0XRM9
P49773	A0A8V0YBC1
P49789	A0A8V0Z9S7
P49790	A0A8V0YGY2
P49792	A0A8V0YKW9
P49795	A0A8V0ZMA8
P49796	A0A8V1AG72
P49802	A0A8V0Y7D6
P49815	A0A3Q2TYJ2
P49821	A0A8V0ZN13
P49841	A0A8V1A1J1
P49888	F1NMA2
P49903	A0A8V0XGX5
P49908	A0A8V0YPB9
P49914	A0A8V0ZI79
P49915	F1NAQ8
P49916	A0A8V1ALB9
P49918	A0A8V0ZW32
P49961	A0A8V0ZNW3
P50052	A0A8V0Z877
P50053	A0A8V0Y4N0
P50120	F1NZY4
P50135	A0A8V0XW54
P50148	Q5F3B5
P50151	A0A8V0XS64
P50213	A0A8V1A4J0
P50219	A0A8V1A8D2
P50221	Q9YI38
P50222	F1NM26
P50238	A0A8V0YKN7
P50336	A0A8V1AGW8
P50395	A0A8V0XWE1
P50406	A0A8V0ZDZ2
P50416	Q6B842
P50443	F1P0S1
P50454	P13731
P50458	A0A8V1ADM2
P50461	F1NWZ2
P50479	Q9PW72
P50539	A0A8V0Z4P6
P50549	A0A8V0XLA8
P50553	A0A1D5P4G9
P50579	A0A8V0YJE7
P50583	R4GJX0
P50591	A0A8V0Z0M2
P50607	A0A8V0Z8G4
P50613	A0A8V0Y2I5
P50616	Q90VW0
P50747	A0A8V0YIG6
P50748	A0A8V1A857
P50749	A0A1D5NWM8
P50851	A0A8V0XM98
P50876	R4GL10
P50897	A0A8V0YR47
P50914	A0A8V0Z4Q7
P50991	A0A8V0Z812
P50993	P24797
P50995	A0A8V0Y3W6
P51003	A0A8V0YUZ1
P51114	A0A8V0YXD7
P51124	A0A8V1A732
P51148	Q98932
P51149	E1C0F3
P51151	Q5ZMI5
P51157	A0A8V0YA62
P51159	A0A8V0ZEG2
P51161	A0A8V0Y9B5
P51164	Q07420
P51168	A0A8V0Z1H1
P51170	F1NW62
P51178	A0A8V1A5Y9
P51397	A0A8V0X3T1
P51398	A0A8V1ADP8
P51451	E1BYL7
P51452	A0A1D5PI23
P51511	A0A8V0ZHT0
P51512	A0A1D5PZ77
P51513	A0A8V0XD43
P51531	A0A1D5PC01
P51532	A0A8V0XY92
P51570	A0A8V1AMB6
P51575	Q8AWC0
P51582	A0A8V0Z214
P51587	A0A8V0XW53
P51608	A0A8V0XD16
P51636	A0A8V0X2R1
P51648	A0A8V1AKL9
P51649	A0A1D5PFY7
P51654	A0A8V0Z0K9
P51659	O42484
P51665	F1NR71
P51668	A0A8V0Y1Y4
P51674	A0A8V0XG78
P51679	A0A8V0Z6D1
P51684	B0BL89
P51686	A0A8V0Z2J7
P51688	A0A8V1AHD9
P51787	A0A8V0ZY91
P51788	A0A8V0Z3D5
P51790	E1C9F3
P51793	F1NGF2
P51795	A0A8V0Z904
P51797	A0A8V0Z1Q1
P51798	A0A8V0YYV5
P51808	A0A8V0XC31
P51809	Q5ZL74
P51810	A0A8V0XED0
P51811	A0A8V0X7G3
P51812	A0A1D5NWT4
P51813	E1BTT3
P51816	A0A8V0YCN8
P51817	A0A8V0X8M0
P51826	A0A8V0YTP1
P51828	A0A8V0ZZF3
P51841	A0A8V0XFC8
P51843	Q9PTE9
P51857	A0A8V0YLK1
P51858	A0A8V1AE27
P51861	A0A8V0X2S9
P51884	P51890
P51888	A0A8V1A1E8
P51911	P26932
P51946	A0A8V0XW87
P51948	A0A8V0Z5A4
P51955	A0A8V0ZDW9
P51956	A0A8V0XFX2
P51957	A0A8V1AHA8
P51959	E1BUH6
P51965	A0A8V0X324
P51970	A0A8V1ADS5
P51991	A0A1D5PXH1
P52179	A0A8V0X547
P52198	F1N9W4
P52209	A0A8V0YZ27
P52272	A0A8V1AIA0
P52292	A0A1L1RX89
P52298	A0A8V0Z6T8
P52306	A0A8V0XPC2
P52333	A0A8V1A9R2
P52429	A0A8V1AJ79
P52434	A0A8V0YW78
P52564	A0A1D5PHN6
P52565	F1P3P3
P52566	F1NLT8
P52594	A0A1D5P882
P52630	A0A8V0ZVX9
P52655	A1IIE6
P52657	A1IIE5
P52732	A0A8V0ZCA0
P52735	A0A8V1AAH7
P52739	A0A8V0YQ69
P52746	A0A8V0ZRN7
P52747	A0A8V0ZGP1
P52756	A0A1D5PQ66
P52758	A0A8V0YE93
P52788	F1NBG8
P52789	A0A8V0ZAR2
P52799	Q9PUJ4
P52815	A0A8V1ALS2
P52823	A0A8V0Z8N6
P52824	A0A8V0YBN5
P52848	A0A8V0YS46
P52849	E1BYQ4
P52888	A0A8V1AES1
P52907	P13127
P52926	A0A8V0Y7K4
P52945	A0A8V0XPU1
P52948	A0A8V0XI70
P52951	O42230
P52952	Q90788
P52954	A0A8V0Z8J6
P53004	A0A8V0XZU6
P53007	A0A8V0ZCP8
P53350	F1NCX7
P53355	A0A8V0Y7C3
P53365	A0A8V0X678
P53367	A0A1D5P997
P53370	A0A8V0XG24
P53384	A0A8V0ZH90
P53396	A0A1D5PSE5
P53567	Q98944
P53582	Q5ZIM5
P53597	A0A8V0Z587
P53602	A0A8V0Y2W7
P53609	F1NE58
P53611	F1P4E5
P53618	Q5ZIA5
P53621	H9L3L2
P53634	A0A8V0XNR7
P53667	Q8QFP8
P53671	P53666
P53677	A0A1D5NUM5
P53680	A0A8V0YAC5
P53701	Q5F339
P53778	A0A8V0X2Y2
P53779	A0A8V0XLV6
P53794	A0A8V0YA42
P53801	A0A8V0XFW9
P53803	A0A8V0YFB2
P53804	F1P0T0
P53805	A0A8V0YP85
P53814	A0A8V0ZU10
P53985	A0A8V0ZSH6
P53990	A0A8V0XXX2
P53992	A0A3Q2UGR5
P54098	A0A8V0Z1D7
P54105	A0A8V0X4F1
P54219	A0A8V0Z2H4
P54252	Q9W689
P54253	A0A8V0Y890
P54259	A0A8V0ZWG3
P54274	A0A8V0XEG3
P54277	A0A8V0YB15
P54278	F1NQJ3
P54284	A0A8V0ZRR2
P54289	A0A3Q2TVT0
P54578	A0A8V0XRD1
P54646	A0A8V1ABF3
P54687	A0A8V0YKJ7
P54707	F1NZB7
P54710	A0A8V0ZX85
P54725	A0A8V0XK64
P54727	A0A8V0YHB6
P54750	A0A8V0ZVD4
P54802	A0A8V0ZIF0
P54803	A0A8V0ZAV4
P54819	A0A8V0Z310
P54821	Q05437
P54826	A0A8V0Y999
P54829	A0A8V1A297
P54840	E1BXK3
P54849	E1BZ46
P54851	A0A8V0ZBB8
P54868	A0A8V0YK11
P54886	A0A8V0X9K4
P54922	A0A8V0XTA2
P55001	A0A8V0Z788
P55010	Q5ZIE0
P55011	F1NR57
P55017	A0A8V1A136
P55036	A0A8V1AF05
P55039	F1NIK3
P55040	A0A8V0YLJ9
P55042	A0A8V0Y4Q3
P55058	A0A3Q2UBA5
P55060	A0A8V0ZVB3
P55061	A0A8V0ZUC5
P55064	A0A1D5P9U9
P55081	R4GGG5
P55082	Q5F3V6
P55084	A0A8V0YB71
P55087	A0A8V0XMA5
P55107	A0A8V0ZGH5
P55157	M9QWS9
P55160	A0A8V1A8Y4
P55196	A0A8V0XEE1
P55197	A0A8V0XNN6
P55198	A0A8V0ZNF4
P55199	Q5ZLS5
P55201	A0A8V0ZIL8
P55209	E1BZS2
P55211	A0A8V0ZGA5
P55263	A0A8V0ZQ37
P55265	A0A8V1AB28
P55285	Q90762
P55286	A0A8V0XVN0
P55289	E1C235
P55290	P33150
P55291	A0A8V0XWZ6
P55316	Q90964
P55317	A0A1D5PCB1
P55327	A0A8V0XME1
P55344	A0A8V1AGL0
P55347	E1BYI1
P55735	A0A8V0ZWR5
P55769	A0A8V0Y1R2
P55786	A0A8V0ZZ05
P55789	A0A8V0Z0P8
P55809	Q5F3M8
P55822	A0A8V0YSJ7
P55854	Q5ZHQ1
P55884	A0A8V0ZC55
P56134	A0A8V0ZQN7
P56177	Q6DV98
P56178	P50577
P56179	F1NCY8
P56181	A0A3Q3ARC5
P56199	A0A8V0YLB5
P56211	Q5ZLY8
P56277	A0A8V0Z039
P56278	A0A8V0YYL1
P56373	A0A8V1A8D5
P56377	A0A8V0XBM2
P56378	A0A3Q2UCU2
P56385	A0A8V0YE92
P56524	P83038
P56537	A0A1D5PNG3
P56539	F1NXR1
P56545	A0A8V0XGE2
P56556	A0A8V0Y3I0
P56557	A0A1L1RX69
P56559	A0A8V0YAD2
P56589	A0A8V0XIS4
P56597	A0A8V0YTD8
P56645	E1C8E2
P56696	A0A8V0YZR2
P56703	A1DYI3
P56704	Q2LMP1
P56705	P49337
P56706	Q3L254
P56730	A0A8V0XUZ8
P56749	A0A3Q3A440
P56817	F1N916
P56856	A0A8V1A2G7
P56880	A0A3Q3ANS9
P56915	P53545
P56937	A0A1D5PWW3
P56945	A0A8V0ZT35
P56962	A0A8V0XXS1
P56975	A0A8V0Y794
P57052	A0A8V0XTR2
P57054	A0A8V0YII3
P57055	A0A8V0YIH1
P57057	A0A8V0Y8I5
P57058	A0A8V0Y4L8
P57060	A0A8V0YCA7
P57071	A0A8V0Y7A8
P57075	A0A8V0Y3K5
P57076	Q5ZIK5
P57077	A0A8V0YA83
P57078	A0A8V0YFP8
P57081	A0A8V0Y3X8
P57082	O93288
P57087	A0A8V0YAJ2
P57088	A0A8V0YKT5
P57103	F1P023
P57105	A0A8V0ZCF9
P57678	A0A8V1ANR2
P57679	Q670Z8
P57682	A0A8V0YT66
P57721	A0A8V0YQ79
P57723	A0A8V1AEW8
P57727	A0A8V0Y9T6
P57729	A0A8V0XXT6
P57735	A0A8V1AHB6
P57737	A0A8V0Z487
P57739	E1C8Q0
P57740	A0A8V0YN32
P57768	A0A8V0XKK3
P57771	R4GJB7
P57772	A0A3Q3AKC4
P57773	A0A8V0YMY2
P57775	A0A8V0ZRU2
P57789	A0A8V0Z569
P57796	A0A8V0Z718
P58004	A0A8V0YY05
P58005	A0A8V0XTS4
P58012	Q5J7N5
P58107	A0A8V0XU44
P58166	A0A3Q2TUG3
P58215	A0A8V0XRE3
P58294	A0A8V1ABC4
P58304	Q9IAL1
P58335	A0A8V0XIC1
P58340	A0A1D5PNX1
P58397	A0A8V0YIS9
P58417	F1NQI7
P58418	E1C4Z0
P58499	A0A8V0YLP6
P58505	A0A3Q2U7W2
P58658	A0A8V0Y954
P58743	A0A8V0Y720
P58753	A0A8V0ZZ56
P58872	A0A8V1APF0
P59190	A0A8V0ZR14
P59510	A0A8V0X7B5
P59768	Q5ZJ03
P59773	A0A8V0XYJ0
P59827	A0A8V0Z419
P59910	E1C599
P59998	A0A8V0ZKS2
P60002	A0A8V0XIL4
P60033	F1NW06
P60059	A0A8V0XST0
P60174	P00940
P60468	A0A8V0Y175
P60484	A0A8V0ZJ28
P60520	F1NNM2
P60602	A0A8V0ZMC3
P60604	A0A8V1A5P4
P60673	E1BXG1
P60709	P60706
P60763	A0A8V1AMB7
P60852	A0A8V0Z7G6
P60866	F1NH93
P60880	P60878
P60891	A0A8V0YW10
P60893	E1BXX3
P60900	A0A8V0XRD5
P60903	P27003
P60953	Q90694
P61006	Q5F470
P61009	P28687
P61011	A0A8V0XZ11
P61019	Q90965
P61020	Q5ZHW4
P61024	A0A1L1S0Y9
P61026	Q5ZIT5
P61073	A0A3S5ZPQ6
P61077	A0A8V0YY10
P61081	A0A8V0XGX9
P61086	A0A8V0Z1W7
P61088	A0A8V0YL56
P61106	Q5ZKU5
P61129	A0A8V0Z4M0
P61158	Q90WD0
P61160	P53488
P61163	A0A8V0Z7A0
P61165	Q76LT9
P61201	E1C3U6
P61218	A0A8V0Y989
P61221	A0A8V0XQE6
P61224	Q5ZHX1
P61225	A0A8V0XBX5
P61247	A0A8V0XXX0
P61254	A0A8V0Y4V6
P61278	P33094
P61289	Q5F3J5
P61313	F1NQG5
P61328	A0A8V0YN21
P61353	P61355
P61366	A0A8V0YNL9
P61371	P50211
P61421	A0A8V0ZJC4
P61457	O73930
P61587	A0A8V0Y4K1
P61599	E1C474
P61601	P62758
P61604	A0A8V0YR61
P61619	A0A8V1A1N9
P61626	P00698
P61647	A0A1D5PEI3
P61764	Q6R748
P61769	P21611
P61803	O13113
P61916	Q5ZJS7
P61925	Q90641
P61927	E1C810
P61952	A0A8V0X8A6
P61956	Q5ZJM9
P61960	Q5ZMK7
P61962	A0A8V0ZDG8
P61964	A0A8V1AFW6
P61968	A0A8V0ZQX4
P61970	F1NLL4
P61981	Q5F3W6
P62068	A0A1D5PXU2
P62070	Q5ZIW8
P62072	E1BXY8
P62079	A0A8V0XDC3
P62081	F1NN16
P62136	A0A8V0ZWA8
P62140	P62207
P62166	P62167
P62191	A0A8V0Z3K2
P62195	F1NU79
P62241	A0A8V1A8R2
P62244	A0A3Q3A7P6
P62249	R4GGJ0
P62253	A0A8V1ANR3
P62256	A0A8V0XST2
P62258	Q5ZMT0
P62263	Q5ZHW8
P62266	A0A8V0XPN5
P62273	A0A8V0Z8V3
P62277	Q6ITC7
P62280	A0A8V0X317
P62304	P62303
P62306	A0A1L1RSB5
P62308	E1C8V9
P62310	A0A1D5PC35
P62312	A0A8V0XVL8
P62314	A0A8V0Z2U4
P62316	A0A8V0Y8F5
P62318	A0A8V1A0R9
P62324	P34743
P62328	A0A8V0XG75
P62330	P26990
P62333	A0A1L1RP66
P62341	Q5ZJN8
P62380	Q9YGV8
P62424	P32429
P62487	A0A8V0X667
P62491	Q5ZJN2
P62495	A0A8V0YDD4
P62508	A0A8V0YW14
P62699	Q5ZIK4
P62736	P08023
P62745	O93468
P62750	A0A8V1AGP8
P62760	P62764
P62805	P62801
P62820	A0A1D5PE33
P62826	P42558
P62829	A0A8V0ZNU5
P62837	A0A8V0YFD9
P62841	P62846
P62847	A0A8V0ZLU2
P62854	A0A8V1A4F3
P62857	A0A3Q2U825
P62873	A0A8V0ZD90
P62875	E1BSY6
P62877	A0A8V0YPB4
P62888	P67883
P62891	Q98TF5
P62899	A0A1L1RT94
P62906	F6SU35
P62910	A0A8V0Z2T8
P62913	A0A8V0YJU2
P62917	F1NIX0
P62952	R4GKH1
P62979	P79781
P62987	A0A8V1ACS0
P62993	Q07883
P62995	A0A8V1A348
P63000	A0A8V0Z8U4
P63010	A0A8V1ALB1
P63027	A0A8V0ZWA0
P63098	A0A8V0Z3I3
P63104	Q5ZKC9
P63151	A0A8V0YZY5
P63165	Q8QGH2
P63172	A0A8V0XHV5
P63173	A0A8V1AME3
P63208	Q5ZKF5
P63218	R4GKD1
P63220	A0A8V0ZC45
P63244	P63247
P63261	Q5ZMQ2
P63267	P63270
P63272	E1C4X4
P63279	P63283
P63316	P09860
P67775	P48463
P67809	Q06066
P67870	P67869
P67936	A0A8V1AIH7
P68032	P68034
P68036	A0A8V0ZX13
P68104	Q90835
P68133	P68139
P68371	P09206
P68543	A0A8V0Y4Y2
P78310	A0A8V0XU65
P78312	A0A8V0Z339
P78314	A0A8V0YUI4
P78316	A0A8V0Z2J9
P78317	A0A8V0YV27
P78325	A0A8V0Z5I3
P78330	A0A8V1ALE8
P78332	A0A1D5PAD2
P78333	A0A8V0XU31
P78337	P56673
P78344	F1NQU7
P78345	A0A8V0XHF2
P78346	A0A8V0ZDG1
P78347	A0A8V1ALY0
P78348	Q1XA76
P78356	A0A1D5PV96
P78357	A0A8V0ZPB7
P78362	A0A8V0Y823
P78363	A0A8V0ZGI9
P78364	A0A8V0ZJZ8
P78367	A0A8V0Y4A6
P78368	A0A8V1A675
P78369	E1C926
P78371	A0A8V0YCP2
P78382	A0A8V0XJZ3
P78396	F1P4N0
P78406	A0A8V0YXB8
P78413	Q9YGS0
P78414	A0A1D5PSE4
P78417	A0A8V0ZJE0
P78424	A0A8V0YWU7
P78504	E1BTW5
P78524	A0A8V0ZL81
P78536	A0A8V0XKC2
P78537	A0A3Q3B116
P78539	A0A3Q2TVG1
P78540	A0A8V0ZBW4
P78543	A0A8V1ADU7
P78545	A0A8V1AER7
P78552	A0A8V0YPG2
P78556	Q8QG55
P78559	A0A8V0X6D0
P78560	A0A8V0Y761
P78562	A0A8V0XFU9
P78563	A0A8V0YMW8
P80108	A0A8V0XZX7
P80192	A0A8V0ZBZ2
P80217	A0A8V0ZNC1
P80303	A0A8V0ZSE1
P80365	A0A8V0ZL05
P80370	A0A8V0YZ99
P80404	E1C8M8
P80723	P23614
P81133	E1C5G3
P81274	A0A8V0YCV2
P81277	A0A8V0YLQ8
P81408	A0A8V1AGM5
P81877	F1NTD5
P82094	A0A8V0ZBG5
P82251	E1BT87
P82279	A0A8V0Y6G9
P82650	A0A8V1A408
P82663	A0A8V0ZL15
P82664	A0A8V0Z9Q9
P82673	A0A1D5P7Q3
P82675	A0A8V0YYB2
P82909	A0A8V0Y857
P82912	A0A8V0Z6H7
P82914	A0A8V0YI69
P82921	A0A8V1ALD7
P82930	A0A8V0YY68
P82933	A0A8V0YCQ0
P82979	A0A8V1A3K2
P82987	A0A8V0YRN1
P83110	A0A8V0Y8P6
P83111	A0A8V0ZSV0
P83369	A0A8V0YJU4
P83436	E1BZM5
P83731	A0A8V0XU45
P83859	A0A8V1AI87
P83916	A0A8V0ZR83
P84022	P84023
P84074	F1NJU0
P84085	P49702
P84090	A0A8V0ZKL5
P84095	R4GMA6
P84098	A0A8V0ZSH5
P84101	A0A3Q2ULA2
P84103	E1C8Y9
P84157	A0A8V1AJW6
P84243	P84247
P85037	A0A8V0ZAU7
P85298	A0A8V0YS21
P85299	A0A8V0YK43
P86397	A0A8V0ZFV6
P98066	A0A8V0YC45
P98073	A0A8V0XT95
P98077	A0A8V1AAT7
P98082	A0A8V0YMC5
P98095	A0A8V1A9U7
P98153	A0A8V0ZQ06
P98155	P98165
P98160	A0A8V0Z3S9
P98161	A0A8V0YXP6
P98164	A0A8V0ZQA7
P98170	A0A8V0YRF2
P98177	A0A8V0Z5W5
P98194	A0A8V0Z7T1
P98196	A0A8V0YJI3
P98198	A0A8V1AG66
P99999	P67881
Q00005	A0A8V0YM51
Q00013	Q5ZJ00
Q00056	P17277
Q00059	A0A8V0XZX8
Q00169	A0A8V1ACC5
Q00266	E1C735
Q00325	A0A8V0Y9K6
Q00403	A0A8V0ZTE0
Q00526	F1NA68
Q00532	A0A8V0ZA06
Q00534	Q90771
Q00535	A0A8V1A7M2
Q00537	A0A3Q3A664
Q00577	A0A1D5PBN9
Q00597	A0A8V0Y574
Q00604	E1BWM4
Q00610	A0A8V1ABS2
Q00688	A0A8V0YZ11
Q00722	A0A8V0ZVU8
Q00765	A0A8V0XXE8
Q00839	A0A8V0XYP5
Q00872	A0A8V0YA44
Q00975	A0A8V1AJW5
Q00987	F1NGX6
Q00LT1	A0A8V1AK15
Q01064	A0A3Q2U726
Q01081	A0A8V0YBF7
Q01082	A0A1D5PJY1
Q01085	A0A8V0X982
Q01101	A0A8V0YYW8
Q01113	A0A8V0Z0M8
Q01130	P30352
Q01151	A0A8V0YFA9
Q01167	A0A8V1ANS6
Q01196	A0A3Q2TTQ9
Q01201	P51509
Q01344	R4GKR1
Q01415	A0A8V0Z171
Q01432	A0A8V0ZAB9
Q01433	A0A8V1ADW8
Q01453	A0A8V1AP09
Q01459	A0A8V0ZF42
Q01484	A0A8V0XI77
Q01518	A0A1D5Q032
Q01538	A0A8V0ZM15
Q01543	A0A8V0ZMI8
Q01638	A0A8V0YLX2
Q01650	A0A8V0Y0Y6
Q01658	Q5ZMV3
Q01664	R4GIE6
Q01668	O73700
Q01718	O57317
Q01780	A0A8V0ZSG2
Q01804	A0A8V0XSK6
Q01813	A0A8V0XHN0
Q01814	A0A3Q2U0I3
Q01826	A0A1D5PV61
Q01831	A0A8V0ZPR3
Q01844	A0A8V0X7E7
Q01851	A0A1D5P1G4
Q01954	A0A8V0YXU5
Q01968	A0A8V0YRC1
Q01973	A0A8V1A1G5
Q01974	A0A8V0Y3V6
Q02040	A0A8V0XBZ5
Q02078	A0A3Q2U575
Q02080	A0A3Q3A5B9
Q02083	F1NCS3
Q02086	H9KYR6
Q02094	A0A8V0XVT7
Q02108	A0A8V0XYR4
Q02127	A0A8V0XXT5
Q02153	A0A8V0XVV3
Q02156	A0A8V0ZD48
Q02218	A0A8V0Z707
Q02224	A0A8V0Z615
Q02241	A0A1D5PDE8
Q02252	A0A8V0XYN4
Q02297	Q05199
Q02318	A0A8V0ZKC1
Q02363	A0A8V0XJD0
Q02388	A0A8V1AFR2
Q02410	A0A8V0YIH8
Q02446	A0A1D5PLW4
Q02447	Q90WR8
Q02509	A0A8V0Y4D8
Q02535	A0A8V0Z2Q0
Q02543	F1NPD3
Q02548	A0A8V0XA07
Q02556	Q90871
Q02575	R4GI98
Q02577	A0A3Q2TV70
Q02643	A0A8V1A8Q9
Q02742	F1NU59
Q02747	R4GIC2
Q02750	A0A8V0ZBN6
Q02763	A0A3Q2UKD3
Q02790	A0A3Q2U9P1
Q02878	A0A8V0ZE87
Q02930	A0A8V0XCP6
Q02952	A0A8V0XQ88
Q02962	A0A8V0ZH56
Q03001	A0A8V0XCG5
Q03111	A0A8V1A9J8
Q03112	A0A1D5P950
Q03113	A0A8V0Z5Y8
Q03154	A0A8V1AGV2
Q03164	A0A8V0ZWT3
Q03167	Q90998
Q03169	A0A8V0YSZ0
Q03188	A0A8V0XE50
Q03393	A0A8V1A5P5
Q03403	E1BZ37
Q03426	A0A8V0ZEQ7
Q03431	C7S302
Q03468	A0A8V0ZFC4
Q03518	A5HUM0
Q03701	A0A1D5PEJ1
Q03721	A0A8V1A2Y8
Q03828	A0A8V1A6N9
Q03989	A0A8V0Z7Z6
Q04446	A0A8V0XZG0
Q04609	A0A8V0XXK2
Q04656	A0A8V0YNC2
Q04671	A0A8V0XEN3
Q04721	A0A8V0YRT4
Q04724	A0A8V0YZX5
Q04725	A0A8V1AD20
Q04726	A0A8V0ZBE2
Q04727	A0A8V0YUD8
Q04756	A0A8V0YV77
Q04759	A0A8V0XNK8
Q04760	A0A1L1RZK1
Q04837	A0A8V0YLB8
Q04900	A0A8V0YGK2
Q04912	A0A8V1A3N1
Q04917	A0A8V1A685
Q04941	A0A8V0XD76
Q05048	E1C3Q4
Q05084	E1C2A8
Q05086	A0A8V0YL05
Q05193	A0A8V1ACG4
Q05195	A0A8V0Z9X4
Q05209	A0A8V0YAF3
Q05215	A0A8V0Z644
Q05329	A0A1D5PLC8
Q05469	A0A8V0X804
Q05513	E1BQN6
Q05516	A0A1D5P781
Q05519	A0A8V1A1H3
Q05586	A0A8V1AGU9
Q05639	F1N9H4
Q05655	F1P3G1
Q05823	A0A8V0XZ22
Q05932	A0A8V1AJ93
Q05940	A0A8V0ZMN0
Q05996	A0A8V0YZB1
Q05BQ5	A0A8V1AKY8
Q05BV3	A0A8V0Z5V1
Q05C16	A0A8V0XAK8
Q05D60	A0A8V0Y1Q0
Q05DH4	A0A8V0XY03
Q06033	A0A8V1AHC2
Q06124	Q90687
Q06136	A0A8V0YJG4
Q06190	A0A8V0ZRB8
Q06210	A0A8V0Z9C7
Q06265	Q6B7Z6
Q06278	A0A8V1A1T9
Q06330	A0A8V0YAI0
Q06413	A0A8V0XSW9
Q06432	F1NC88
Q06455	A0A1D5PBA3
Q06481	F1P0A7
Q06495	A0A1D5NWQ4
Q06546	Q5ZJ46
Q06547	A0A8V0Z196
Q06609	P37383
Q06787	A0A8V0Z2R0
Q06830	P0CB50
Q06889	A0A8V0ZGW1
Q06945	A0A8V0XY91
Q07002	A0A8V1A6P5
Q07011	A0A8V0Z1G6
Q07021	A0A8V1AMS0
Q07065	A0A8V0YFA7
Q07075	A0A8V0XJV4
Q07092	A0A8V0Z1M4
Q07157	A0A8V1A0B4
Q07326	A0A8V0Z5T6
Q07343	A0A8V1A706
Q07352	S5TQ07
Q07507	A0A1D5NVS3
Q07617	A0A8V0Y287
Q07687	A0A8V0ZJU0
Q07817	Q07816
Q07820	A0A8V1AKI0
Q07837	E1C011
Q07864	A0A8V0ZUF2
Q07866	A0A8V0YUH1
Q07869	A0A1D5PJQ2
Q07889	A0A8V0Z7G5
Q07890	F1N8Q9
Q07912	A0A8V0YRC9
Q07955	A0A8V1AMG6
Q07960	A0A8V0ZKK5
Q07973	A0A8V0YRI5
Q08116	A0A8V0YNR5
Q08117	A0A8V1A7N3
Q08170	A0A8V0YX41
Q08174	A0A8V0YE05
Q08188	A0A1D5NXS5
Q08209	A0A8V0XRD8
Q08257	A0A8V0ZZ17
Q08289	E1BZF6
Q08334	A0A8V0Y000
Q08357	A0A1D5PVB6
Q08378	A0A8V0ZGC2
Q08379	A0A8V1AJE2
Q08397	A0A8V0ZTP4
Q08426	A0A8V1A248
Q08462	E1BX91
Q08495	A0A8V0Z6M8
Q08499	A0A1D5PP20
Q08623	A0A8V0XCI7
Q08629	A0A8V0YV23
Q08722	A0A8V0XHV1
Q08752	E1BXG9
Q08828	A0A8V0XY43
Q08830	A0A8V0YV33
Q08881	A0A8V0YJJ1
Q08999	A0A8V0ZME1
Q08AD1	A0A8V0YD43
Q08AE8	A0A8V0X1G9
Q08AG7	A0A8V0X6K4
