Q96Q11	P21269
O75396	P22214
O14841	P28273
Q13144	P32501
P30041	P34227
Q9Y5M8	P36057
O95707	P38336
Q06136	P38342
Q9NWK9	P38772
Q9NWU1	P39525
Q9Y282	P39727
A6H8Y1	P46678
Q96T52	P46972
Q14566	P53091
Q8IYL2	Q02648
Q8WVC6	Q03941
Q8N3Z3	Q05473
O95470	Q05567
Q9Y5S8	Q12333
Q9Y230	Q12464
Q8NBF6	Q12500
O75175	P06102
P48047	P09457
P0CG48	P0CG63
O15258	P25560
P49736	P29469
Q92900	P30771
Q16851	P32861
Q9NV31	P32899
P55060	P33307
Q9NYV6	P36070
P36542	P38077
O76031	P38323
Q8NI37	P38797
Q53S33	P39724
Q7L3T8	P39965
Q8TEX9	P40069
P49914	P40099
Q9Y388	P40565
Q9BU89	P47120
Q9BTY7	P48362
P63279	P50623
P53041	P53043
O95391	Q02775
P57081	Q03774
Q6PJI9	Q03897
O14530	Q04004
Q9BSH5	Q04223
Q96RQ1	Q04651
Q9UQ10	Q04869
Q53GS7	Q12315
Q9HD34	Q6Q560
P13051	P12887
P60953	P19073
Q96FM1	P25625
P09001	P31334
Q99460	P32565
Q5T653	P32611
Q86WU2	P32891
Q6P2Q9	P33334
P46063	P35187
O15498	P36015
O94817	P38316
Q5VYK3	P38737
Q6R327	P40061
Q9BVK2	P40351
Q9Y5J1	P40362
Q86U44	P41833
Q9Y5P6	P41940
Q32M88	P48016
A2PYH4	P51979
Q9BYD3	P51998
Q9UBT2	P52488
P52815	P53163
Q9BY44	P53235
Q9NXE8	P53854
P62314	Q02260
Q15061	Q04177
Q15008	Q06103
Q9UKF6	Q06224
O00471	Q06245
P51572	Q07451
Q9BUE6	Q07821
Q8TBB5	Q08979
A6NK06	Q12428
Q99707	Q12525
Q9UBZ9	P12689
O60762	P14020
P49720	P25451
Q13405	P25642
Q96LU5	P28627
Q6PJT7	P32505
Q9Y3A2	P34247
Q8N2H4	P41544
Q96S44	P53323
Q9H269	Q03308
O43196	Q12175
Q9H3S7	Q12033
Q8WUM4	Q12033
Q9H201	P47160
Q8IYW4	P47160
O95208	P47160
Q9Y6I3	P47160
Q16560	Q00916
P08621	Q00916
P62826	P32836
P62826	P32835
P04180	P40345
Q8NCC3	P40345
Q9UHC9	Q12200
O15118	Q12200
Q9UBX3	Q06143
Q02978	Q06143
A4QPH2	P37297
P42356	P37297
Q15560	P07273
O75764	P07273
P23193	P07273
P14317	P15891
Q9UJU6	P15891
Q14247	P15891
P11498	P32327
P11498	P11154
P29692	P32471
P24534	P32471
Q96GJ1	P33753
Q8IZ69	P33753
P62424	P17076
P62424	P29453
P61457	P38744
Q9H0N5	P38744
P31040	Q00711
P31040	P47052
O14529	P34237
P39880	P34237
Q9HD42	P69771
Q7LBR1	P69771
Q9NP61	P38682
Q8N6H7	P38682
Q96EP5	Q99383
Q96DH6	Q99383
O43347	Q99383
P05165	P32528
Q96RQ3	P32528
Q07020	P0CX49
Q07020	P0CX50
P09936	P35127
P15374	P35127
Q9NVD3	P38732
Q86TU7	P38732
P28065	P38624
P28072	P38624
Q5VWQ8	P33314
Q96PV0	P33314
Q9UJF2	P33314
Q14644	P33314
P20936	P33314
Q86YV0	P33314
Q9H8M1	Q08058
Q96MF6	Q08058
Q99613	P32497
B5ME19	P32497
P08708	P02407
P08708	P14127
O15182	P06704
Q12798	P06704
Q9H2M3	Q08985
Q93088	Q08985
O75694	P38181
O75694	P40064
Q9H5X1	P38829
Q9Y3D0	P38829
Q8TDJ6	P47104
Q9Y485	P47104
P62857	P0C0X0
P62857	Q3E7X9
Q9Y3R5	Q03921
Q5JWR5	Q03921
Q7Z4H3	P38331
Q7Z4H3	P53144
P15927	P26754
Q13156	P26754
Q9NQL2	P53290
Q9HB90	P53290
Q92887	P39109
O95255	P39109
O15438	P39109
P33527	P39109
P20264	P34161
P20264	Q04116
Q96QS3	P34161
Q96QS3	Q04116
Q6YP21	P47039
Q16773	P47039
O60476	P32906
P33908	P32906
Q9NR34	P32906
Q9UKM7	P32906
Q8TB61	Q12520
P78383	Q12520
P08243	P49089
P08243	P49090
P62244	Q3E7Y3
P62244	P0C0W1
Q9Y3E0	Q03554
Q6ZVE7	Q03554
Q8WWN9	P38041
Q8WWN9	P39969
Q6IQ23	P38041
Q6IQ23	P39969
P00156	P00163
P00156	P03879
P52298	Q08920
A6PVI3	Q08920
Q06210	P14742
O94808	P14742
Q13838	Q07478
O00148	Q07478
Q14667	Q06116
Q14667	Q06179
B0YJ81	P40857
Q6Y1H2	P40857
Q9H0L4	P25299
P33240	P25299
O60739	P32911
P41567	P32911
P26639	P04801
A2RTX5	P04801
Q8NDV3	P32908
Q14683	P32908
P62081	P26786
P62081	P48164
Q96DZ1	Q99220
Q13438	Q99220
P98194	P13586
O75185	P13586
Q9H871	Q12508
Q96G75	Q12508
P63098	P25296
Q96LZ3	P25296
Q99755	P38994
A2A3N6	P38994
O60331	P38994
O14986	P38994
Q86XF0	P07807
P00374	P07807
O43837	P28834
P51553	P28834
P46781	P05755
P46781	O13516
Q9P107	P17121
Q9P107	Q12128
P23921	P21672
P23921	P21524
Q92572	P47064
P59780	P47064
Q7Z3C6	Q12142
Q674R7	Q12142
P26641	P29547
P26641	P36008
O43175	P40510
O43175	P40054
P49207	P40525
P49207	P87262
P46778	Q12672
P46778	Q02753
Q9H444	P39929
Q9BY43	P39929
P59074	P39929
Q96CF2	P39929
Q9UGC7	P30775
O75570	P30775
Q86SK9	P21147
O00767	P21147
Q5FWF5	P43605
Q56NI9	P43605
Q92901	P14126
P39023	P14126
Q10567	P36000
P63010	P36000
Q12792	P53250
Q6IBS0	P53250
Q96T83	Q04121
Q92581	Q04121
Q9Y2E8	Q04121
Q8IVB4	Q04121
Q659C4	P25567
Q659C4	Q12034
Q6PKG0	P25567
Q6PKG0	Q12034
P68543	P34223
Q9UNZ2	P34223
Q14CS0	P34223
P11387	P04786
Q969P6	P04786
P05455	P33399
Q4G0J3	P33399
P08579	P40567
P09012	P40567
P27824	P27825
O14967	P27825
Q9H4B4	P32562
Q9NYY3	P32562
P53350	P32562
Q9Y2H1	P53894
Q15208	P53894
Q5BJH7	P53845
O95070	P53845
O14730	Q12196
Q9BRS2	Q12196
O14787	P38217
Q92973	P38217
Q969S8	P53973
Q9UBN7	P53973
P42766	P0CX84
P42766	P0CX85
O95340	Q02196
O43252	Q02196
P54868	P54839
Q01581	P54839
Q15562	P18412
Q99594	P18412
P28347	P18412
Q15561	P18412
P13196	P09950
P22557	P09950
Q9H4A5	Q06385
Q9H4A6	Q06385
Q13164	P36005
Q13164	Q00772
Q8NEV1	P19454
P19784	P19454
P68400	P19454
Q9UNH6	P47057
Q5VWJ9	P47057
Q9ULC4	P89886
A0A3B3IRV3	P89886
Q92839	P29465
Q92819	P29465
O00219	P29465
P11831	P11746
P11831	P07249
Q02543	P0CX24
Q02543	P0CX23
Q8IZX4	P46677
P21675	P46677
O95372	Q12354
O75608	Q12354
Q9H1K1	Q03020
Q9H1K1	Q12056
A4D2P6	P41832
A4D2P6	P40450
Q9Y4D1	P41832
Q9Y4D1	P40450
Q9H9S4	P32464
Q9Y376	P32464
P62913	Q3E757
P62913	P0C0W9
O14602	P38912
P47813	P38912
Q8N142	P80210
P30520	P80210
Q70EK9	P50102
A6NNY8	P50102
Q9UPT9	P50102
Q13415	P06701
Q13415	P54784
Q8N4E4	Q12017
Q9H2J4	Q12017
O95214	P47111
O15243	P47111
Q9BV86	P38340
Q5VVY1	P38340
P23258	P53378
Q9NRH3	P53378
Q5VSL9	P53917
Q9ULQ0	P53917
Q9P1U1	P47117
P61158	P47117
O75376	P25357
Q9Y618	P25357
P62280	P0CX47
P62280	P0CX48
Q16762	Q08686
P25325	Q08686
Q9BQG2	P53164
Q86X67	P53164
P0C7V7	P15367
Q9BY50	P15367
P67812	P15367
Q9NU19	Q08484
Q8WUA7	Q08484
Q86XA9	P39526
Q9P2D3	P39526
Q9Y294	P32447
Q9NVP2	P32447
Q5JXB2	P52490
P61088	P52490
O95376	P36113
Q9Y4X5	P36113
Q9UPY3	Q02555
Q9NRR4	Q02555
Q9NRX5	Q12116
Q86VE9	Q12116
Q96SA4	Q12116
Q13530	Q12116
O75356	P32621
O75354	P32621
Q9BVJ6	Q04500
Q5TAP6	Q04500
P14854	Q01519
Q6YFQ2	Q01519
P06493	P00546
P24941	P00546
Q00526	P00546
P14902	P47125
Q6ZQW0	P47125
Q6ZNC8	Q08548
Q6ZWT7	Q08548
Q9UPZ9	P32581
P20794	P32581
Q9UQ07	P32581
Q86X24	P20050
Q8N7B1	P20050
O14522	P25044
P18433	P25044
P29350	P25044
P26045	P25044
Q06124	P25044
Q92729	P25044
Q05209	P25044
P28827	P25044
P18031	P25044
Q15262	P25044
Q12923	P25044
P23470	P25044
Q9Y2R2	P25044
P35236	P25044
P43378	P25044
P23467	P25044
P23471	P25044
P29074	P25044
P08575	P25044
P17706	P25044
Q9UMZ3	P25044
Q4JDL3	P25044
P10586	P25044
Q99952	P25044
Q16827	P25044
Q9HD43	P25044
Q12913	P25044
P23468	P25044
P23469	P25044
Q13332	P25044
Q92932	P25044
Q9Y5J9	P57744
O60220	P57744
P62266	P0CX30
P62266	P0CX29
A6NDY0	P40561
Q86U42	P40561
Q53QZ3	P39960
P11274	P39960
P15882	P39960
Q5T5U3	P39960
Q8IWW6	P39960
P52757	P39960
Q6ZUM4	P39960
Q9P227	P39960
P05388	P05317
Q8NHW5	P05317
P0C0S5	Q12692
Q71UI9	Q12692
Q96HL8	P43603
Q96HL8	P32793
Q8N8N7	Q03102
Q14914	Q03102
A0PJX2	Q08952
Q8N573	Q08952
Q8NI08	Q08952
Q92747	P38328
O15143	P38328
Q6PCE3	Q03262
Q96G03	Q03262
Q92538	P39993
Q92538	P47102
Q9UF12	P09368
O43272	P09368
A4D256	Q00684
Q9UNH5	Q00684
O60729	Q00684
O15047	P38827
Q9UPS6	P38827
P12081	P07263
P49590	P07263
Q9BT22	P16661
C9J202	P16661
Q9H9S3	P32915
P61619	P32915
Q8NFP7	Q99321
A0A024RBG1	Q99321
Q96G61	Q99321
O95989	Q99321
Q9NZJ9	Q99321
P49760	P32350
P49761	P32350
Q9HAZ1	P32350
P49759	P32350
Q969S3	P38344
Q969S3	Q06709
O60684	Q02821
P52294	Q02821
O15131	Q02821
Q96LB4	P48836
O95670	P48836
O75348	P48836
Q9H6Z4	P40517
Q86VV4	P40517
Q9P2R7	P53312
Q96I99	P53312
Q9NQ11	Q12697
Q4VNC0	Q12697
Q4VNC1	Q12697
Q9H7F0	Q12697
Q9H115	P32602
P54920	P32602
P08559	P16387
P29803	P16387
Q16576	P39984
Q09028	P39984
P62263	P06367
P62263	P39516
Q86WA9	P38359
Q86WA9	Q12325
Q9GZT6	P43557
Q96AQ8	P43557
Q13888	Q04673
Q6P1K8	Q04673
Q9Y4W6	P40341
Q9Y4W6	P39925
P07205	P00560
P00558	P00560
Q96BY7	P53855
Q2TAZ0	P53855
P40123	P17555
Q01518	P17555
Q8TAI7	P25378
Q15382	P25378
Q5JSH3	Q03177
Q5JSH3	P32330
Q96HR9	Q12402
Q00765	Q12402
Q96HI0	Q02724
Q9P0U3	Q02724
Q9H4L4	Q02724
Q9HC62	Q02724
Q96NS1	P38191
O60688	P38191
Q96QA6	P38191
P61236	P38191
P17844	P24783
Q92841	P24783
O75460	P32361
Q76MJ5	P32361
Q5SXM2	P22035
P10242	P22035
P21281	P16140
P15313	P16140
P49773	Q04344
Q9BX68	Q04344
Q9BX40	P45978
Q8ND56	P45978
Q8WUX2	P32656
Q9BUX1	P32656
Q8TAA5	P38523
Q9HAV7	P38523
Q5T215	P36149
O43617	P36149
P20226	P13393
Q6SJ96	P13393
P78368	P39962
P78368	P23292
P78368	P23291
P0DI82	P38334
P0DI81	P38334
O00757	P09201
P09467	P09201
Q5VZY2	Q05521
Q8NEB5	Q05521
Q86SZ2	Q99394
O75865	Q99394
Q8IYB5	P40529
Q8WU79	P40529
O60573	P07260
P06730	P07260
A6NMX2	P07260
Q8TC07	P48365
Q9HA65	P48365
Q13232	P36010
P15531	P36010
P22392	P36010
P0C7P4	P08067
P47985	P08067
P31350	P09938
Q7LG56	P09938
Q6ZP29	Q12010
Q6ZP29	P38279
Q6ZP29	Q06328
P62753	P0CX38
P62753	P0CX37
P04035	P12684
P04035	P12683
P28845	P40579
P28845	P40580
P35270	P40579
P35270	P40580
Q01085	P32588
P31483	P32588
Q9Y678	P32074
Q9UBF2	P32074
O60488	P39002
O60488	P47912
O60488	P30624
Q9NQ29	Q07508
Q9Y383	Q07508
Q9NSQ0	P25368
Q9Y3A4	P25368
Q8WTU0	P40087
Q5TDH0	P40087
Q8N6T3	P32572
Q8N6T3	P35197
P31930	P10507
O75439	P10507
O75953	P25294
Q9UDY4	P25294
P59910	P25294
P25685	P25294
P21283	P31412
Q8NEY4	P31412
Q86VZ2	P38123
P43034	P38123
P61964	P38123
Q8N136	P38123
O75387	Q04991
Q8N370	Q04991
Q8NBI5	Q04991
Q8N3Z6	Q12476
Q8N3Z6	P40507
Q8N6M0	P38747
Q7L8S5	P38747
Q92539	P32567
Q14693	P32567
Q9BQK8	P32567
Q8N1E6	P24814
Q9UJT9	P24814
Q96IG2	P24814
Q8NEE6	P24814
Q9UKC9	P24814
O14647	P32657
O14646	P32657
Q16342	P25040
Q9BRP1	P25040
O94826	P38825
O94826	P07213
P62906	P0CX44
P62906	P0CX43
P07327	P32771
P00325	P32771
P00326	P32771
P11766	P32771
P08319	P32771
Q02878	P05739
Q02878	Q02326
O43280	P32356
O43280	P35172
Q9Y6D6	P11075
Q9Y6D5	P11075
A4D2B8	P14242
P54278	P14242
O95744	P14242
Q5H9L4	Q05021
Q15545	Q05021
O43169	P40312
P00167	P40312
Q9H611	P38766
Q9H611	P07271
Q14739	P32462
O76062	P32462
Q15833	P30619
O00186	P30619
P61764	P30619
Q8N8F6	P53039
Q969M3	P53039
P11388	P06786
Q02880	P06786
P50395	P39958
P31150	P39958
Q13617	Q12018
Q13616	Q12018
Q7Z478	Q06698
Q6P158	Q06698
Q08211	Q06698
Q9H2U1	Q06698
Q9BQT8	Q99297
Q9BQT8	Q03028
O75521	Q05871
O75521	Q08558
Q9H2U2	P00817
Q15181	P00817
Q6ZV29	Q04958
Q8IY17	Q04958
Q06055	P61829
P05496	P61829
P48201	P61829
O15120	P33333
Q99943	P33333
Q8NI60	P27697
Q96D53	P27697
P32969	P51401
P32969	P05738
P62987	P0CH08
P62987	P0CH09
Q5MNZ6	P50079
Q9Y484	P50079
Q86YB8	Q03103
Q96HE7	Q03103
P49585	P13259
Q9Y5K3	P13259
P62891	P04650
Q96EH5	P04650
Q59GN2	P04650
Q13303	Q02895
O43448	Q02895
Q14722	Q02895
Q9BXJ9	P12945
Q6N069	P12945
P99999	P00045
P99999	P00044
Q9UJM8	P00175
Q9NYQ3	P00175
Q9H267	P20795
Q96AX1	P20795
O75907	P25628
O75907	P53629
Q9H4G8	Q3E840
Q96FX2	Q3E840
P0DKB6	P53157
Q9Y5U8	P53157
A6NDG6	P19881
Q96GD0	P19881
Q9BY60	P38182
Q9H0R8	P38182
O95166	P38182
P60520	P38182
P60842	P10081
P38919	P10081
Q14240	P10081
Q86U86	Q06488
Q86U86	P53236
Q16512	P24583
Q6P5Z2	P24583
Q16513	P24583
O60518	P32337
O00410	P32337
A6NMK7	Q06102
O95639	Q06102
Q9NTG7	P53686
Q8IXJ6	P53686
Q4G0F5	P40335
O75436	P40335
Q96AT9	P46969
Q2QD12	P46969
Q8WYQ3	Q03667
Q9Y6H1	Q03667
Q5T1J5	Q03667
Q9NR22	P38074
Q99873	P38074
P36873	P32598
P62136	P32598
P62140	P32598
Q9BYT8	P25375
P52888	P25375
Q9UN37	P52917
O75351	P52917
Q00005	Q00362
P63151	Q00362
Q9Y2T4	Q00362
Q66LE6	Q00362
P35670	P38995
Q04656	P38995
Q96CD2	P36076
Q96CD2	P36024
Q13393	P36126
O14939	P36126
Q16549	P13134
P09958	P13134
Q6UW60	P13134
Q92824	P13134
P29120	P13134
P29122	P13134
Q5VTR2	Q07457
O75150	Q07457
O76003	Q03835
O76003	P32642
Q8IYB4	P35056
P50542	P35056
P78318	Q04372
A0A1W2PR95	Q04372
P61247	P23248
P61247	P33442
P62258	P34730
P62258	P29311
Q9H2F5	P43572
Q52LR7	P43572
P50914	P36105
P50914	P38754
Q8N5Z0	P53090
Q8N5Z0	P38840
P43155	P32796
P28329	P32796
Q9BWU1	P39073
P49336	P39073
Q9NYU2	P22023
Q9NYU1	P22023
Q0IIM8	P53258
Q6ZT07	P53258
O95759	P53258
Q66K14	P53258
O75151	P40034
Q9UPP1	P40034
Q9Y2K7	P40034
Q6ZMT4	P40034
Q8NHM5	P40034
Q9NRK6	P33311
Q9NRK6	P33310
P36969	P40581
P36969	P38143
P36969	P36014
Q8N8R3	Q12289
O43772	Q12289
Q9P003	P38312
Q9P003	P53173
O43861	P40527
O75110	P40527
Q9NRW1	Q99260
Q9H0N0	Q99260
P20340	Q99260
Q53S08	Q99260
Q5JT25	Q99260
Q96A05	P22203
P36543	P22203
A8MWD9	P40204
P62308	P40204
Q969M1	P23644
O96008	P23644
Q8WUM9	P38361
Q08357	P38361
Q13242	Q01560
Q07955	Q01560
Q13247	Q01560
Q13243	Q01560
Q08170	Q01560
Q9HD23	Q01926
Q9HD23	Q02783
B7ZW38	P38996
Q9UKM9	P38996
P07910	P38996
B2RXH8	P38996
O60812	P38996
P0DMR1	P38996
Q86SE5	P38996
O43307	P11433
Q9NR80	P11433
Q96N96	P11433
P24390	P18414
O43731	P18414
P33947	P18414
Q9BPX5	P40518
O15511	P40518
Q9BTU6	P42951
Q8TCG2	P42951
Q96A70	P08432
P11926	P08432
O14977	P08432
Q96ET8	P38962
A6NH52	P38962
Q9NYZ1	P38962
P62829	P0CX41
P62829	P0CX42
Q13404	P53152
Q15819	P53152
Q15019	P32457
Q99719	P32457
Q16181	P32457
O43236	P32457
Q8WYJ6	P32457
Q86TW2	Q06567
Q3MIX3	Q06567
Q9NWM0	P50264
O60341	P50264
Q8NB78	P50264
Q6QHF9	P50264
P37802	Q08873
Q9UI15	Q08873
Q15417	Q08873
Q99439	Q08873
Q01995	Q08873
P51911	Q08873
Q8TAQ2	P32591
Q92922	P32591
Q7Z3V4	P53119
Q15386	P53119
P49459	P06104
P63146	P06104
P53675	P22137
Q00610	P22137
P41250	P38088
P41250	Q06817
Q6PL18	P40340
Q9ULI0	P40340
Q9HCJ6	P38230
Q99536	P38230
Q53FA7	P38230
P39019	P07281
P39019	P07280
P62899	P0C2H9
P62899	P0C2H8
Q9BZ23	Q04430
Q9H999	Q04430
Q9NVE7	Q04430
Q8TE04	Q04430
Q8IUF1	P53729
Q5RIA9	P53729
Q9BRT8	P53729
Q4V339	P53729
Q5JTY5	P53729
Q9H1A7	P38902
Q9GZM3	P38902
P52435	P38902
Q9NPI5	P53915
Q9NWW6	P53915
Q9H078	P31539
Q9H078	P33416
P33121	P39518
O95573	P39518
Q9ULC5	P39518
Q9UKU0	P39518
Q9UHH9	Q12494
Q92551	Q12494
Q96PC2	Q12494
Q9UIJ5	P42836
Q5W0Z9	P42836
Q96MV8	P42836
Q13547	P32561
Q92769	P32561
Q9Y5T4	Q07914
Q96DA6	Q07914
Q9H8Y8	Q04410
Q9BQQ3	Q04410
O43464	P53920
Q92743	P53920
P83110	P53920
P83105	P53920
P32322	P32263
Q53H96	P32263
Q96C36	P32263
A0A1W2PQJ5	P53538
Q9NP77	P53538
A0A1W2PQ64	P53538
A0A1W2PR75	P53538
A0A1W2PQD8	P53538
A0A1W2PQ27	P53538
A0A1W2PQC6	P53538
Q8N8Y2	P32366
P61421	P32366
Q96NR8	Q08651
Q9HBH5	Q08651
Q8NBN7	Q08651
Q8N5I4	Q08651
Q9NZC7	Q08651
Q8TC12	Q08651
Q6UX07	Q08651
Q15363	P32803
Q9Y3B3	P32803
Q8IZ73	Q12069
Q8IZ73	Q12362
Q8N1G1	P53331
Q8IX06	P53331
P61927	P51402
P61927	P49166
Q2M3G0	P12866
P08183	P12866
O95342	P12866
P21439	P12866
P48729	P29295
P49674	P29295
Q8N752	P29295
P48730	P29295
O60294	Q08282
Q9UIC8	Q08282
O60294	Q04081
Q9UIC8	Q04081
Q92504	P40544
Q96H72	P40544
Q13131	P06782
P54646	P06782
Q8TAG9	P22224
Q9Y2D4	P22224
P00395	P00401
P00395	Q9ZZX1
Q13596	Q92331
O60749	Q92331
Q15173	P38903
Q16537	P38903
Q14738	P38903
Q15172	P38903
Q13362	P38903
O75400	P33203
Q6NWY9	P33203
Q92995	P38237
P45974	P38237
P62736	P60010
P68133	P60010
P63261	P60010
P60709	P60010
Q562R1	P60010
P63267	P60010
P68032	P60010
Q96RL7	Q07878
Q709C8	Q07878
Q9UBJ2	P41909
P28288	P41909
P33897	P41909
Q8NHP1	P42884
O95154	P42884
O43488	P42884
Q86Y91	P53086
Q8NI77	P53086
Q9NUJ3	P40317
Q8WWU5	P40317
Q5H9J9	P40317
Q8N4U5	P40317
B4DZS4	P40317
Q9P2J9	Q12511
Q9P0J1	Q12511
P22059	P35845
P22059	Q12451
Q969R2	P35845
Q969R2	Q12451
Q96KP4	P43616
Q96KN2	P43616
P52758	P40185
P52758	P40037
O00291	P33338
O75146	P33338
Q3KQV9	P43123
Q16222	P43123
O60216	Q12158
Q9H4I0	Q12158
Q6UX53	P38892
Q9H8H3	P38892
Q9BWQ6	P53108
Q9Y548	P53108
O75643	P32639
Q8N3C0	P32639
O75643	P53327
Q8N3C0	P53327
P35580	P08964
Q9Y2K3	P08964
P12883	P08964
Q9Y623	P08964
Q7Z406	P08964
P13535	P08964
Q9UKX2	P08964
A7E2Y1	P08964
P35749	P08964
P35579	P08964
P13533	P08964
P12882	P08964
P11055	P08964
Q9UKX3	P08964
O96009	P07267
P0DJD9	P07267
P07339	P07267
P14091	P07267
P0DJD7	P07267
P0DJD8	P07267
Q5TC63	P48566
Q5TC63	Q12317
Q9BXS5	Q00776
Q9Y6Q5	Q00776
P16118	P32604
Q16877	P32604
O60825	P32604
Q16875	P32604
Q9UMY4	Q08826
O60493	Q08826
Q15437	P15303
Q15436	P15303
Q2VIR3	P32481
P41091	P32481
Q7Z6M1	P38853
Q7Z6M1	P50090
Q07837	P38158
Q07837	Q08295
Q07837	P53341
Q07837	P0CW41
Q07837	P40884
Q07837	P0CW40
Q07837	P53051
A8MW95	Q02948
Q14457	Q02948
Q9BXS1	P15496
Q13907	P15496
Q9Y2E4	Q12275
Q9P265	Q12275
Q14689	Q12275
P12074	P32799
Q02221	P32799
Q2M3R5	Q08980
Q2M3R5	Q04835
Q96DT6	P53867
Q86TL0	P53867
Q9Y4P1	P53867
Q8WYN0	P53867
Q92828	Q06440
Q9BR76	Q06440
Q6QEF8	Q06440
P31146	Q06440
Q9UQ03	Q06440
Q9ULV4	Q06440
Q8NFU3	Q12305
Q8NFU3	Q08742
P62633	P53849
Q8WW36	P53849
Q9Y297	P39014
Q969H0	P39014
Q9UKB1	P39014
Q8TET4	P38138
Q14697	P38138
A6XGL0	P40165
Q8NCW5	P40165
O15173	Q12091
O00264	Q12091
Q9Y6R4	P25390
Q9Y6R4	P53599
O15305	P07283
Q92871	P07283
Q07890	P04821
Q07889	P04821
Q9Y227	P40009
Q9NQZ7	P40009
Q8IXI1	P39722
Q8IXI2	P39722
P37198	P14907
Q9H1M0	P14907
Q16623	P39926
Q16623	P32867
P40227	P39079
Q92526	P39079
Q9UBC2	P34216
P42566	P34216
Q3LXA3	P43550
Q3LXA3	P54838
Q13153	Q03497
Q13177	Q03497
O75914	Q03497
P06737	P06738
P11217	P06738
P11216	P06738
Q9NX07	Q00539
Q9NX07	P32831
Q5VXJ0	P34163
P07098	P34163
Q5W064	P34163
P38571	P34163
Q5VYY2	P34163
Q5VXI9	P34163
Q9Y6B6	P20606
Q9NR31	P20606
Q9BY66	P47156
P29375	P47156
P41229	P47156
Q9UGL1	P47156
Q96C86	Q06151
Q96C86	Q12123
Q99424	P13711
Q15067	P13711
O95674	P38221
Q92903	P38221
A4D1E9	P38860
Q9H4K7	P38860
Q6NUM6	Q08960
Q9NV66	Q08960
Q9Y281	Q03048
P23528	Q03048
P60981	Q03048
P62851	P0C0T4
P62851	Q3E792
Q9BVP2	P40010
Q9NVN8	P40010
Q96IZ6	Q08641
Q9H825	Q08641
Q6P1Q9	Q08641
P33552	P20486
P61024	P20486
Q9UMR2	P20449
Q9UHL0	P20449
Q9NUU7	P20449
P42345	P35169
P42345	P32600
Q9NSY1	P38080
Q9NSY1	P40494
Q9NSY1	P53974
O15264	P32485
Q15759	P32485
P53778	P32485
Q16539	P32485
Q9NZ01	Q99190
Q5HYJ1	Q99190
Q92783	P38753
O75886	P38753
Q8IZE3	Q12453
Q96KG9	Q12453
O95563	P38857
O95563	P53311
Q56UQ5	P35691
P13693	P35691
Q9HAU6	P35691
P05187	P11491
P05186	P11491
P10696	P11491
P09923	P11491
Q9NVH6	P23180
O75936	P23180
Q8N6N7	P31787
P07108	P31787
P13861	P07278
P10644	P07278
P31323	P07278
P31321	P07278
P54727	P32628
P54725	P32628
Q969X1	P48558
Q9BWQ8	P48558
Q7Z429	P48558
Q9HC24	P48558
Q99643	Q04487
Q99643	P33421
Q96CW5	P53540
Q9BSJ2	P53540
Q96CW5	P38863
Q9BSJ2	P38863
Q92830	Q03330
Q92831	Q03330
Q9NVA4	P36142
Q6ZMB5	P36142
Q9Y519	P36142
Q9H867	P53970
Q96AZ1	P53970
Q8WXB1	P53970
A6NDL7	P53970
Q5T160	Q05506
Q5T160	P38714
O75529	P38129
Q15542	P38129
Q5VZM2	Q00582
Q7L523	Q00582
P17174	P23542
P00505	P23542
Q9ULM6	P31384
Q96LI5	P31384
Q9Y606	Q12211
Q9Y606	P53167
P62273	P41058
P62273	P41057
A8MPP1	P22516
Q96FC9	P22516
Q92771	P22516
Q8N140	P43124
Q9NXX6	P43124
Q70IA8	P40484
Q96BX8	P40484
Q7L9L4	P40484
Q86TA1	P40484
Q9H8S9	P40484
P18077	P05744
P18077	P41056
P52209	P38720
P52209	P53319
P62847	P0CX31
P62847	P0CX32
P05089	P00812
P78540	P00812
Q02218	P20967
Q9ULD0	P20967
P0C1S8	P32944
Q99640	P32944
P30291	P32944
Q96P11	P53972
Q63ZY6	P53972
Q3KNT7	P53972
Q3KQZ1	P32332
Q6PIV7	P32332
Q96KX2	P28495
P52907	P28495
P47755	P28495
P30153	P31383
P30154	P31383
Q00613	P10961
Q03933	P10961
Q9ULV5	P10961
O43895	Q07825
Q9NQW7	Q07825
Q6VN20	P53076
Q96S59	P53076
Q8NBP7	P25381
Q8NBP7	P09232
Q8NBP7	P25036
Q15555	P40013
Q9UPY8	P40013
Q15691	P40013
Q13188	P38692
O00506	P38692
Q9Y6E0	P38692
Q13043	P38692
Q9P289	P38692
Q9UHQ1	P23503
Q9H6Q4	P23503
P27144	P26364
Q9UIJ7	P26364
A0A8I5KW96	P26364
P18621	P46990
P18621	P05740
A6NKF1	P46674
O60318	P46674
Q96PS8	P43549
A0A075B734	P43549
O43315	P43549
O14520	P43549
A6NL99	P43549
Q92482	P43549
Q9UKY4	P42934
Q9UKY4	P31382
Q9UKY4	P47190
Q9UGJ0	P12904
P54619	P12904
Q9UGI9	P12904
P30419	P14743
O60551	P14743
Q5GLZ8	P40985
Q15034	P40985
Q5U5R9	P40985
Q05086	P40985
Q8N465	P39976
Q8N465	P46681
P30307	P23748
P30305	P23748
P30304	P23748
Q9GZR1	P40537
Q9BQF6	P40537
Q8N9F7	Q08959
Q7L5L3	Q08959
Q86VX9	P53129
Q7L1V2	P53129
Q9Y3U8	O14455
