X6R8D5	Q8K168
P33402	F8VQK3
P33527	O35379
P33552	P56390
P33681	Q00609
P33763	P63084
P33764	P62818
P33897	P48410
P33908	P45700
P33947	Q9CQM2
P33981	P35761
P33991	P49717
P33992	P49718
P33993	Q61881
P34059	Q571E4
P34096	Q9JJH1
P34130	Q80VU4
P34741	P43407
P34810	P31996
P34896	P50431
P34897	Q9CZN7
P34903	P26049
P34910	Q8VD58
P34913	P34914
P34925	Q01887
P34931	P16627
P34932	Q61316
P34947	Q8VEB1
P34949	Q924M7
P34969	P32304
P34972	P47936
P34981	P21761
P34982	Q7TRW7
P34995	P35375
P34998	P35347
P35052	Q9QZF2
P35070	Q05928
P35080	Q9JJV2
P35212	P28235
P35218	P23589
P35219	P28651
P35221	P26231
P35222	Q02248
P35225	P20109
P35226	P25916
P35227	P23798
P35228	P29477
P35232	P67778
P35236	Q8BUM3
P35240	P46662
P35241	P26043
P35243	P34057
P35244	Q9CQ71
P35247	P50404
P35249	Q99J62
P35250	Q9WUK4
P35251	P35601
P35268	P67984
P35269	Q3THK3
P35270	Q64105
P35318	P97297
P35346	O08858
P35348	P97718
P35354	Q05769
P35367	P70174
P35368	P97717
P35372	P42866
P35398	P51448
P35408	P32240
P35414	Q9WV08
P35442	Q03350
P35443	Q9Z1T2
P35452	P23812
P35453	P70217
P35462	P30728
P35475	P48441
P35498	A2APX8
P35499	Q9ER60
P35520	Q91WT9
P35523	Q64347
P35527	Q6RHW0
P35542	P31532
P35548	Q03358
P35555	Q61554
P35556	Q61555
P35557	P52792
P35558	Q9Z2V4
P35568	P35569
P35573	F8VPN4
P35575	P35576
P35579	Q8VDD5
P35580	Q61879
P35590	Q06806
P35606	O55029
P35609	Q9JI91
P35610	Q61263
P35611	Q9QYC0
P35612	Q9QYB8
P35613	P18572
P35625	P39876
P35626	Q3UYH7
P35637	P56959
P35638	P35639
P35658	Q80U93
P35659	Q7TNV0
P35663	A0A1B0GR13
P35670	Q64446
P35680	P27889
P35711	P35710
P35712	P40645
P35713	P43680
P35716	Q7M6Y2
P35749	O08638
P35754	Q9QUH0
P35790	O54804
P35813	P49443
P35858	P70389
P35869	P30561
P35900	Q9D312
P35913	P23440
P35914	P38060
P35916	P35917
P35968	P35918
P35998	P46471
P36021	O70324
P36222	Q61362
P36269	Q9Z2A9
P36382	Q01231
P36383	P28229
P36402	Q00417
P36404	Q9D0J4
P36405	Q9WUL7
P36406	Q8BGX0
P36507	Q63932
P36508	Q8BMU0
P36542	Q91VR2
P36543	P50518
P36544	P49582
P36551	P36552
P36575	Q9EQP6
P36578	Q9D8E6
P36639	P53368
P36776	Q8CGK3
P36871	Q9D0F9
P36873	P63087
P36888	Q00342
P36894	P36895
P36896	Q61271
P36897	Q64729
P36915	P36916
P36941	P50284
P36952	P70124
P36954	P60898
P36955	P97298
P36956	Q9WTN3
P36957	Q9D2G2
P36959	Q9DCZ1
P36969	O70325
P37023	Q61288
P37058	P70385
P37059	P51658
P37088	Q61180
P37108	P16254
P37173	Q62312
P37198	Q63850
P37231	P37238
P37235	P62748
P37268	P53798
P37275	Q64318
P37287	Q64323
P37288	Q62463
P37802	Q9WVA4
P37837	Q93092
P37840	O55042
P38117	Q9DCW4
P38159	Q9WV02
P38398	P48754
P38405	Q8CGK7
P38432	Q5SU73
P38435	Q9QYC7
P38484	Q63953
P38567	Q812F3
P38570	Q60677
P38571	Q9Z0M5
P38606	P50516
P38646	P38647
P38919	Q91VC3
P38935	P40694
P38936	P39689
P39019	Q9CZX8
P39023	P27659
P39059	O35206
P39060	P39061
P39086	Q60934
P39210	P19258
P39656	O54734
P39748	P39749
P39877	P97391
P39880	P53564
P39900	P34960
P39905	P48540
P40121	P24452
P40123	Q9CYT6
P40126	P29812
P40145	P97490
P40189	Q00560
P40197	O08742
P40200	Q3U0X8
P40222	Q6PAM1
P40225	P40226
P40227	P80317
P40238	Q08351
P40259	P15530
P40261	O55239
P40305	Q8C6G0
P40306	O35955
P40313	Q9ER05
P40337	P40338
P40394	Q64437
P40424	P41778
P40425	O35984
P40426	O35317
P40429	P19253
P40616	P61211
P40617	P61213
P40692	Q9JK91
P40763	P42227
P40818	Q80U87
P40855	Q8VCI5
P40879	Q9WVC8
P40925	P14152
P40926	P08249
P40933	P48346
P40937	Q9D0F6
P40938	Q8R323
P40939	Q8BMS1
P40967	Q60696
P41002	P51944
P41091	Q9Z0N1
P41134	P20067
P41143	P32300
P41145	P33534
P41146	P35377
P41159	P41160
P41161	Q9CXC9
P41162	Q8R4Z4
P41180	Q9QY96
P41181	P56402
P41182	P41183
P41208	Q9R1K9
P41212	P97360
P41214	Q61211
P41217	O54901
P41219	P15331
P41220	O08849
P41221	P22725
P41222	O09114
P41223	Q6PGH1
P41225	P53784
P41226	Q9DBK7
P41227	Q9QY36
P41229	P41230
P41231	P35383
P41235	P49698
P41238	P51908
P41240	P41241
P41250	Q9CZD3
P41252	Q8BU30
P41271	Q61477
P41273	P41274
P41279	Q07174
P41440	P41438
P41567	P48024
P41586	P70205
P41587	P41588
P41594	Q3UVX5
P41595	Q02152
P41597	P51683
P41732	Q62283
P41743	Q62074
P41968	P33033
P41970	P41971
P42025	Q8R5C5
P42081	P42082
P42126	P42125
P42127	Q03288
P42166	Q61033
P42224	P42225
P42226	P52633
P42229	P42230
P42261	P23818
P42262	P23819
P42263	Q9Z2W9
P42285	Q9CZU3
P42331	Q8BYW1
P42336	P42337
P42338	Q8BTI9
P42345	Q9JLN9
P42356	E9Q3L2
P42357	P35492
P42566	P42567
P42568	A2AM29
P42574	P70677
P42575	P29594
P42658	Q9Z218
P42677	Q6ZWU9
P42679	P41242
P42680	P24604
P42681	P42682
P42684	Q4JIM5
P42685	Q922K9
P42694	Q6DFV5
P42695	Q6ZQK0
P42696	Q8C5L7
P42701	Q60837
P42702	P42703
P42704	Q6PB66
P42765	Q8BWT1
P42766	Q6ZWV7
P42768	P70315
P42772	P55271
P42773	Q60772
P42785	Q7TMR0
P42857	Q62092
P42858	P42859
P42892	Q4PZA2
P42898	Q9WU20
P43003	P56564
P43004	P43006
P43005	P51906
P43007	O35874
P43026	P43027
P43034	P63005
P43080	P43081
P43088	P43117
P43115	P30557
P43116	Q62053
P43119	P43252
P43121	Q8R2Y2
P43146	P70211
P43155	P47934
P43166	Q9ERQ8
P43220	O35659
P43234	Q8BM88
P43235	P55097
P43243	Q8K310
P43246	P43247
P43250	O70293
P43251	Q8CIF4
P43268	P28322
P43304	Q64521
P43307	Q9CY50
P43308	Q9CPW5
P43320	P62696
P43351	P43352
P43353	Q80VQ0
P43354	Q06219
P43378	O35239
P43403	P43404
P43405	P48025
P43487	P34022
P43489	P47741
P43490	Q99KQ4
P43652	O89020
P43657	Q8BMC0
P43681	O70174
P43686	P54775
P43694	Q08369
P43699	P50220
P43897	Q9CZR8
P45378	Q9QZ47
P45379	P50752
P45381	Q8R3P0
P45452	P33435
P45844	Q64343
P45877	P30412
P45880	Q60930
P45954	Q9DBL1
P45973	Q61686
P45974	P56399
P45984	Q9WTU6
P45985	P47809
P46013	E9PVX6
P46019	Q8BWJ3
P46020	P18826
P46059	Q9JIP7
P46060	P46061
P46063	Q9Z129
P46087	Q922K7
P46089	P35413
P46091	Q8K087
P46092	Q9JL21
P46093	Q8BUD0
P46094	Q9R0M1
P46095	Q6YNI2
P46098	P23979
P46100	Q61687
P46108	Q64010
P46109	P47941
P46199	Q91YJ5
P46379	Q9Z1R2
P46459	P46460
P46527	P46414
P46531	Q01705
P46597	D3KU66
P46663	Q61125
P46695	P46694
P46734	O09110
P46736	P46737
P46776	P14115
P46777	P47962
P46778	O09167
P46779	P41105
P46781	Q6ZWN5
P46782	P97461
P46783	P63325
P46821	P14873
P46926	O88958
P46934	P46935
P46937	P46938
P46939	E9Q6R7
P46940	Q9JKF1
P46952	Q78JT3
P46976	Q9R062
P46977	P46978
P47211	P56479
P47224	Q91X96
P47710	P19228
P47712	P47713
P47736	A2ALS5
P47755	P47754
P47756	P47757
P47775	P35412
P47804	Q9Z2B3
P47813	Q8BMJ3
P47869	P26048
P47870	P63137
P47871	Q61606
P47872	Q5FWI2
P47874	Q64288
P47883	Q7TRX3
P47895	Q9JHW9
P47897	Q8BML9
P47898	P30966
P47900	P49650
P47901	Q9WU02
P47902	P18111
P47928	P41139
P47929	O54974
P47944	P47945
P47972	O70340
P47974	P23949
P47989	Q00519
P48023	P41047
P48029	Q8VBW1
P48039	Q61184
P48047	Q9DB20
P48048	O88335
P48050	P52189
P48051	P48542
P48052	Q504N0
P48058	Q9Z2W8
P48059	Q99JW4
P48060	Q9CWG1
P48061	P40224
P48065	P31651
P48066	P31650
P48067	P28571
P48145	P49681
P48147	Q9QUR6
P48163	P06801
P48165	P28236
P48167	P48168
P48169	Q9D6F4
P48200	Q811J3
P48201	P56384
P48230	Q91XD3
P48307	O35536
P48357	P48356
P48378	P48379
P48380	P48381
P48426	O70172
P48431	P48432
P48436	Q04887
P48443	P28705
P48444	Q5XJY5
P48449	Q8BLN5
P48454	P48455
P48506	P97494
P48507	O09172
P48509	O35566
P48539	P63054
P48544	P48545
P48546	Q0P543
P48547	P15388
P48549	P63250
P48551	O35664
P48552	Q8CBD1
P48553	Q3TLI0
P48556	Q9CX56
P48595	Q8K1K6
P48634	Q7TSC1
P48637	P51855
P48643	P80316
P48645	Q9QXK8
P48651	Q99LH2
P48664	O35544
P48681	Q6P5H2
P48723	Q8BM72
P48728	Q8CFA2
P48729	Q8BK63
P48730	Q9DC28
P48735	P54071
P48736	Q9JHG7
P48739	P53811
P48740	P98064
P48742	P63006
P48745	Q64299
P48751	P16283
P48764	G3X939
P48775	P48776
P48788	P13412
P48995	Q61056
P49005	O35654
P49006	P28667
P49023	Q8VI36
P49069	P49070
P49116	P49117
P49137	P49138
P49146	P97295
P49184	Q9D7J6
P49189	Q9JLJ2
P49190	Q91V95
P49207	Q9D1R9
P49221	Q8BZH1
P49238	Q9Z0D9
P49247	P47968
P49257	Q9D0F3
P49279	P41251
P49281	P49282
P49286	Q8CIQ6
P49321	Q99MD9
P49326	P97872
P49327	P19096
P49335	P62515
P49336	Q8R3L8
P49354	Q61239
P49356	Q8K2I1
P49366	Q3TXU5
P49368	P80318
P49406	Q9D338
P49407	Q8BWG8
P49411	Q8BFR5
P49418	Q7TQF7
P49419	Q9DBF1
P49427	Q8CFI2
P49441	P49442
P49447	Q60720
P49450	O35216
P49454	E9Q3P4
P49458	P49962
P49459	Q9Z255
P49585	P49586
P49588	Q8BGQ7
P49589	Q9ER72
P49590	Q99KK9
P49591	P26638
P49593	Q8CGA0
P49619	Q91WG7
P49638	Q8BWP5
P49639	P09022
P49640	P23683
P49641	Q8BRK9
P49642	P20664
P49643	P33610
P49674	Q9JMK2
P49675	P51557
P49682	O88410
P49683	Q6VMN6
P49685	Q0VDU3
P49703	Q99PE9
P49711	Q61164
P49715	P53566
P49716	Q00322
P49720	Q9R1P1
P49721	Q9R1P3
P49736	P97310
P49746	Q05895
P49747	Q9R0G6
P49748	P50544
P49750	Q9R0I7
P49754	Q5KU39
P49755	Q9D1D4
P49756	B2RY56
P49757	Q9QZS3
P49758	Q9Z2H2
P49759	P22518
P49760	O35491
P49761	O35492
P49763	P49764
P49765	P49766
P49767	P97953
P49768	P49769
P49770	Q99LD9
P49771	P49772
P49773	P70349
P49788	F6ZIS7
P49789	O89106
P49790	E9Q3G8
P49792	Q9ERU9
P49795	Q9CX84
P49796	Q9DC04
P49798	O08899
P49802	O54829
P49810	Q61144
P49815	Q61037
P49821	Q91YT0
P49840	Q2NL51
P49841	Q9WV60
P49842	Q9JHN8
P49848	Q62311
P49862	Q91VE3
P49863	O35205
P49888	P49891
P49895	Q61153
P49902	Q3V1L4
P49903	Q8BH69
P49908	P70274
P49913	P51437
P49915	Q3THK7
P49916	P97386
P49917	Q8BTF7
P49918	P49919
P49959	Q61216
P49961	P55772
P50052	P35374
P50053	P97328
P50120	Q08652
P50135	Q91VF2
P50148	P21279
P50150	P50153
P50151	Q9CXP8
P50213	Q9D6R2
P50219	Q9QZW9
P50221	P32442
P50222	P32443
P50238	P63254
P50281	P53690
P50336	P51175
P50395	Q61598
P50402	O08579
P50406	Q9R1C8
P50416	P97742
P50440	Q9D964
P50443	Q62273
P50452	O08800
P50454	P19324
P50458	Q9Z0S2
P50461	P50462
P50479	P70271
P50539	P50540
P50542	O09012
P50548	P70459
P50549	P41164
P50552	P70460
P50553	Q02067
P50570	P39054
P50579	O08663
P50583	P56380
P50591	P50592
P50607	P50586
P50613	Q03147
P50616	Q61471
P50747	Q920N2
P50748	Q8C3Y4
P50749	Q8BMS9
P50750	Q99J95
P50851	Q9ESE1
P50876	Q925F3
P50895	Q9R069
P50897	O88531
P50914	Q9CR57
P50990	P42932
P50991	P80315
P50993	Q6PIE5
P50995	P97384
P51003	Q61183
P51114	Q61584
P51116	Q9WVR4
P51124	O08643
P51148	P35278
P51149	P51150
P51151	Q9R0M6
P51153	Q9DD03
P51157	Q99KL7
P51159	Q9ERI2
P51160	Q91ZQ1
P51161	P51162
P51164	P50992
P51168	Q9WU38
P51170	Q9WU39
P51178	Q8R3B1
P51397	Q91XC8
P51398	Q9ER88
P51449	P51450
P51451	P16277
P51452	Q9D7X3
P51460	O09107
P51511	O54732
P51512	Q9WTR0
P51513	Q9JKN6
P51530	Q6ZQJ5
P51531	Q6DIC0
P51532	Q3TKT4
P51553	P70404
P51570	Q9R0N0
P51571	Q62186
P51572	Q61335
P51575	P51576
P51580	O55060
P51582	Q9JJS7
P51587	P97929
P51606	P82343
P51608	Q9Z2D6
P51610	Q61191
P51617	Q62406
P51636	Q9WVC3
P51648	P47740
P51649	Q8BWF0
P51654	Q8CFZ4
P51659	P51660
P51665	P26516
P51668	P61080
P51671	P48298
P51674	P35802
P51677	P51678
P51679	P51680
P51681	P51682
P51684	O54689
P51685	P56484
P51686	Q9WUT7
P51687	Q8R086
P51688	Q9EQ08
P51692	P42232
P51693	Q03157
P51784	Q99K46
P51787	P97414
P51788	Q9R0A1
P51790	P51791
P51793	Q61418
P51795	Q9WVD4
P51797	O35454
P51798	O70496
P51805	P70208
P51808	P56387
P51809	P70280
P51810	P70259
P51811	Q9QXY7
P51812	P18654
P51813	P97504
P51816	O55112
P51817	Q922R0
P51825	O88573
P51826	P51827
P51828	P51829
P51841	Q5SDA5
P51843	Q61066
P51857	Q8VCX1
P51858	P51859
P51884	P51885
P51888	Q9JK53
P51911	Q08091
P51946	Q61458
P51948	P51949
P51955	O35942
P51956	Q9R0A5
P51957	Q9Z1J2
P51959	P51945
P51965	P52482
P51970	Q9DCJ5
P51991	Q8BG05
P52179	Q62234
P52198	Q9QYM5
P52209	Q9DCD0
P52272	Q9D0E1
P52292	P52293
P52294	Q60960
P52298	Q9CQ49
P52306	E9Q912
P52333	Q62137
P52429	Q9R1C6
P52434	Q923G2
P52435	O08740
P52564	P70236
P52565	Q99PT1
P52566	Q61599
P52569	P18581
P52594	Q8K2K6
P52597	Q9Z2X1
P52630	Q9WVL2
P52655	Q99PM3
P52657	Q80ZM7
P52701	P54276
P52732	Q6P9P6
P52735	Q60992
P52739	Q8K3J5
P52746	G5E869
P52747	O70230
P52756	Q91YE7
P52758	P52760
P52788	P97355
P52789	O08528
P52790	Q3TRM8
P52797	O08545
P52798	O08542
P52799	P52800
P52803	O08543
P52815	Q9DB15
P52823	O55183
P52824	Q6P5E8
P52848	Q3UHN9
P52849	P52850
P52888	Q8C1A5
P52907	P47753
P52926	P52927
P52943	Q9DCT8
P52945	P52946
P52948	Q6PFD9
P52951	P48031
P52952	P42582
P52954	P52955
P52961	Q60935
P53004	Q9CY64
P53007	Q8JZU2
P53041	Q60676
P53350	Q07832
P53355	Q80YE7
P53365	Q8K221
P53367	G5E8V9
P53370	Q8CH40
P53384	Q9R060
P53396	Q91V92
P53420	Q9QZR9
P53539	P13346
P53567	P53568
P53582	Q8BP48
P53597	Q9WUM5
P53602	Q99JF5
P53609	Q8BUY9
P53611	P53612
P53618	Q9JIF7
P53621	Q8CIE6
P53634	P97821
P53667	P53668
P53671	O54785
P53672	Q9JJV1
P53673	Q9JJV0
P53674	Q9WVJ5
P53677	Q8R2R9
P53680	P62743
P53701	P53702
P53708	A2ARA8
P53778	O08911
P53779	Q61831
P53794	Q9JKZ2
P53801	Q8R143
P53803	Q63871
P53804	O88196
P53805	Q9JHG6
P53814	Q921U8
P53816	Q8R3U1
P53985	P53986
P53990	Q9CX00
P53992	G3X972
P53999	P11031
P54098	P54099
P54105	Q61189
P54107	E9PVG4
P54132	O88700
P54136	Q9D0I9
P54198	Q61666
P54219	Q8R090
P54252	Q9CVD2
P54253	P54254
P54257	O35668
P54259	O35126
P54274	P70371
P54277	Q8K119
P54278	P54279
P54284	P54285
P54289	O08532
P54296	Q14BI5
P54315	Q5BKQ4
P54317	P17892
P54368	P54369
P54577	Q91WQ3
P54578	Q9JMA1
P54619	O54950
P54646	Q8BRK8
P54652	P17156
P54687	P24288
P54707	Q9Z1W8
P54709	P97370
P54710	Q04646
P54725	P54726
P54727	P54728
P54750	Q61481
P54753	P54754
P54760	P54761
P54762	Q8CBF3
P54764	Q03137
P54802	O88325
P54803	P54818
P54819	Q9WTP6
P54821	P63013
P54826	Q01721
P54829	P54830
P54840	Q8VCB3
P54845	P54846
P54849	P47801
P54851	O88662
P54852	O35912
P54868	P54869
P54886	Q9Z110
P54920	Q9DB05
P54922	P54923
P55000	Q9Z0K7
P55001	P55002
P55008	O70200
P55010	P59325
P55011	P55012
P55017	P59158
P55036	O35226
P55039	Q9QXB9
P55040	P55041
P55042	O88667
P55055	Q60644
P55056	Q61268
P55058	P55065
P55060	Q9ERK4
P55061	Q9D2C7
P55064	Q9WTY4
P55072	Q01853
P55073	Q91ZI8
P55075	P37237
P55082	Q922T2
P55083	Q9D1H9
P55084	Q99JY0
P55085	P55086
P55087	P55088
P55089	P81615
P55103	P55104
P55107	P97737
P55145	Q9CXI5
P55157	O08601
P55160	Q8K1X4
P55196	Q9QZQ1
P55197	O54826
P55198	B1AR10
P55199	O08856
P55201	B2RRD7
P55209	P28656
P55210	P97864
P55211	Q8C3Q9
P55212	O08738
P55259	Q9D733
P55263	P55264
P55265	Q99MU3
P55268	Q61292
P55273	Q60773
P55283	P39038
P55285	P97326
P55286	P97291
P55287	P55288
P55289	Q5RJH3
P55290	Q9WTR5
P55291	P33146
P55316	Q60987
P55317	P35582
P55318	P35584
P55327	Q62393
P55344	P56563
P55345	Q9R144
P55347	O70477
P55735	Q9D1M0
P55769	Q9D0T1
P55771	P47242
P55786	Q11011
P55789	P56213
P55795	P70333
P55809	Q9D0K2
P55822	Q9WUZ7
P55851	P70406
P55854	Q9Z172
P55884	Q8JZQ9
P55895	P21784
P55899	Q61559
P55916	P56501
P55957	P70444
P56134	P56135
P56159	P97785
P56177	Q64317
P56178	P70396
P56179	P70397
P56181	Q8BK30
P56182	P56183
P56192	Q68FL6
P56199	Q3V3R4
P56202	P56203
P56211	P56212
P56270	P56671
P56277	Q61908
P56278	Q60945
P56279	P56280
P56282	O54956
P56373	Q3UR32
P56377	Q9DB50
P56378	P56379
P56385	Q06185
P56524	Q6NZM9
P56537	O55135
P56539	P51637
P56545	P56546
P56556	Q9CQZ5
P56557	Q9D1X9
P56559	P61208
P56589	Q9QXY9
P56597	Q99MH5
P56645	O70361
P56693	Q04888
P56696	Q9JK97
P56703	P17553
P56704	P27467
P56705	P22724
P56706	P28047
P56715	P56716
P56730	O08762
P56746	Q9Z0S5
P56747	Q9Z262
P56748	Q9Z260
P56749	Q9ET43
P56750	Q8BXA6
P56817	P56818
P56856	P56857
P56915	Q02591
P56937	O88736
P56945	Q61140
P56962	Q9D0I4
P56975	O35181
P57052	Q80YT9
P57054	Q9JHG1
P57055	Q924S9
P57057	Q8R070
P57058	O88866
P57060	Q99M03
P57071	E9Q8T2
P57073	Q04886
P57075	Q3V3E1
P57076	Q8BL95
P57077	P58500
P57078	Q9ERK0
P57081	Q9EP82
P57082	P70325
P57086	Q2M4I6
P57087	Q9JI59
P57088	Q9CR67
P57103	S4R2P9
P57105	Q9D6K5
P57678	Q6P6L6
P57679	P57680
P57682	Q60980
P57721	P57722
P57723	P57724
P57727	Q8K1T0
P57729	Q8QZZ8
P57735	Q9WTL2
P57737	Q9D2V7
P57738	Q8VEA7
P57739	O88552
P57740	Q8BH74
P57764	Q9D8T2
P57768	Q8C080
P57771	Q8BXT1
P57772	Q9JHW4
P57775	Q9JMJ2
P57789	Q8BUW1
P57796	Q8VHC5
P58004	P58043
P58005	Q9CYP7
P58012	O88470
P58062	Q6IE32
P58107	Q8R0W0
P58166	O08717
P58173	Q60890
P58215	Q9Z175
P58294	Q14A28
P58304	Q61412
P58335	Q6DFX2
P58340	Q9QWV4
P58397	Q811B3
P58417	Q61200
P58418	Q8K445
P58499	Q9D309
P58505	G5E8K1
P58511	Q99J19
P58546	P62774
P58549	P59648
P58557	Q8CAV0
P58658	P58659
P58743	Q99NH7
P58753	Q99JY1
P58872	P58873
P58876	P10854
P59025	Q8C8C1
P59044	Q91WS2
P59046	E9Q5R7
P59047	Q9R1M5
P59095	P59096
P59190	Q8K386
P59282	Q0P5Y3
P59510	P59511
P59533	Q7TQA6
P59534	Q7TQA5
P59535	Q7TQB8
P59536	P59532
P59551	Q7TQA9
P59768	P63213
P59773	Q8C4X7
P59780	Q8BSZ2
P59796	Q91WR8
P59797	D3YXG1
P59826	Q80ZU7
P59827	A2BGH0
P59910	Q80Y75
P59923	Q8R2V3
P59998	P59999
P60002	P60003
P60006	P60007
P60008	Q9QYL0
P60022	P56386
P60033	P35762
P60059	P60060
P60153	P60154
P60174	P17751
P60201	P60202
P60228	P60229
P60321	P60322
P60323	P60324
P60468	Q9CQS8
P60484	O08586
P60510	P97470
P60520	P60521
P60568	P04351
P60602	P60603
P60604	P60605
P60606	Q8K129
P60660	Q60605
P60673	Q9DAD6
P60709	P60710
P60763	P60764
P60842	P60843
P60852	Q62005
P60866	P60867
P60880	P60879
P60891	Q9D7G0
P60893	P60894
P60900	Q9QUM9
P60903	P08207
P60953	P60766
P60981	Q9R0P5
P60983	Q9CQI3
P60985	Q3V2T4
P61006	P55258
P61009	Q6ZWQ7
P61011	P14576
P61018	Q91ZR1
P61019	P53994
P61020	P61021
P61024	P61025
P61026	P61027
P61073	P70658
P61077	P61079
P61081	P61082
P61086	P61087
P61088	P61089
P61106	Q91V41
P61129	Q8BYK8
P61158	Q99JY9
P61160	P61161
P61163	P61164
P61165	P61166
P61201	P61202
P61204	P61205
P61218	P61219
P61221	P61222
P61224	Q99JI6
P61225	P61226
P61236	P61237
P61244	P28574
P61247	P97351
P61254	P61255
P61266	P61264
P61278	P60041
P61289	P61290
P61296	Q61039
P61313	Q9CZM2
P61326	P61327
P61328	P61329
P61353	P61358
P61366	P61364
P61371	P61372
P61421	P51863
P61457	P61458
P61513	P61514
P61586	Q9QUI0
P61587	P61588
P61599	P61600
P61601	Q91X97
P61619	P61620
P61647	Q8K4T1
P61758	P61759
P61764	O08599
P61769	P01887
P61803	P61804
P61812	P27090
P61916	Q9Z0J0
P61923	P61924
P61925	P63248
P61927	Q9D823
P61952	P61953
P61956	P61957
P61960	P61961
P61962	P61963
P61964	P61965
P61966	P61967
P61968	P61969
P61970	P61971
P61978	P61979
P61981	P61982
P62068	P62069
P62070	P62071
P62072	P62073
P62079	P62080
P62081	P62082
P62136	P62137
P62140	P62141
P62166	Q8BNY6
P62191	P62192
P62195	P62196
P62241	P62242
P62244	P62245
P62249	P14131
P62253	P62254
P62256	P62257
P62258	P62259
P62263	P62264
P62266	P62267
P62269	P62270
P62273	P62274
P62277	P62301
P62280	P62281
P62304	P62305
P62306	P62307
P62308	P62309
P62310	P62311
P62312	P62313
P62314	P62315
P62316	P62317
P62318	P62320
P62324	P62325
P62328	P20065
P62330	P62331
P62333	P62334
P62341	P62342
P62380	P62340
P62424	P12970
P62487	P62488
P62491	P62492
P62495	Q8BWY3
P62502	A2AJB9
P62508	P62509
P62633	P53996
P62699	P62700
P62701	P62702
P62714	P62715
P62736	P62737
P62745	P62746
P62750	P62751
P62753	P62754
P62760	P62761
P62805	P62806
P62807	Q6ZWY9
P62820	P62821
P62826	P62827
P62829	P62830
P62834	P62835
P62837	P62838
P62841	P62843
P62847	P62849
P62851	P62852
P62854	P62855
P62857	P62858
P62861	P35545
P62873	P62874
P62875	P62876
P62877	P62878
P62879	P62880
P62888	P62889
P62891	P62892
P62899	P62900
P62906	P53026
P62910	P62911
P62913	Q9CXW4
P62917	P62918
P62937	P17742
P62942	P26883
P62945	P62947
P62952	P62951
P62955	P62956
P62979	P62983
P62987	P62984
P62993	Q60631
P62995	P62996
P63000	P63001
P63010	Q9DBG3
P63027	P63044
P63096	B2RSH2
P63098	Q63810
P63104	P63101
P63146	P63147
P63151	Q6P1F6
P63162	P63163
P63165	P63166
P63167	P63168
P63172	P51807
P63173	Q9JJI8
P63208	Q9WTX5
P63211	Q61012
P63215	P63216
P63218	Q80SZ7
P63220	Q9CQR2
P63241	P63242
P63244	P68040
P63252	P35561
P63261	P63260
P63267	P63268
P63272	P63271
P63279	P63280
P63302	P63300
P63313	Q6ZWY8
P63316	P19123
P67775	P63330
P67809	P62960
P67812	Q9R0P6
P67870	P67871
P67936	Q6IRU2
P68032	P68033
P68036	P68037
P68104	P10126
P68106	Q9Z2I2
P68133	P68134
P68363	P05213
P68366	P68368
P68371	P68372
P68400	Q60737
P68402	Q61206
P68431	P68433
P68543	Q99KJ0
P69905	P01942
P78310	P97792
P78312	Q8CGI1
P78314	Q06649
P78316	Q8R3N1
P78317	Q9QZS2
P78324	P97797
P78325	Q05910
P78330	Q99LS3
P78332	S4R1W5
P78333	Q8CAL5
P78334	A2AMW3
P78337	P70314
P78344	Q62448
P78345	Q80UU2
P78346	O88796
P78347	Q9ESZ8
P78348	Q6NXK8
P78352	Q62108
P78356	Q80XI4
P78357	O54991
P78362	O54781
P78363	O35600
P78364	Q64028
P78367	P97503
P78368	Q8BVP5
P78369	Q9Z0S6
P78371	P80314
P78380	Q9EQ09
P78381	Q9R0M8
P78382	Q61420
P78383	P97858
P78386	Q9Z2T6
P78396	Q61456
P78406	Q8C570
P78411	Q9JKQ4
P78412	Q9ER75
P78413	Q9QY61
P78414	P81068
P78415	P81067
P78417	O09131
P78423	O35188
P78424	Q8BJI4
P78426	Q99MA9
P78504	Q9QXX0
P78508	Q9JM63
P78509	Q60841
P78524	Q924W7
P78527	P97313
P78536	Q9Z0F8
P78537	O55102
P78539	Q9R0M3
P78540	O08691
P78543	Q04211
P78545	Q3UPW2
P78549	O35980
P78552	O09030
P78556	O89093
P78559	Q9QYR6
P78560	O88843
P78562	P70669
P78563	Q91ZS8
P79522	Q811B5
P80108	O70362
P80188	P11672
P80192	Q3U1V8
P80217	Q9D8C4
P80303	P81117
P80365	P51661
P80370	Q09163
P80404	P61922
P80723	Q91XV3
P81133	Q61045
P81274	Q8VDU0
P81277	G3UWC3
P81408	Q5HZJ5
P81534	Q7TNV9
P81877	Q9CYZ8
P82094	B9EKI3
P82251	Q9QXA6
P82279	Q8VHS2
P82650	Q9CXW2
P82663	Q9D125
P82664	Q80ZK0
P82673	Q8BJZ4
P82675	Q99N87
P82909	Q9CQX8
P82912	Q9DCA2
P82914	Q9DC71
P82921	P58059
P82930	Q9JIK9
P82932	P58064
P82933	Q9D7N3
P82970	Q9JL35
P82979	Q9D1J3
P82987	G3UXC7
P83105	A2RT60
P83110	Q9D236
P83111	Q9EP89
P83369	Q8BUV6
P83436	Q3UM29
P83731	Q8BP67
P83859	Q8CE23
P83876	P83877
P83881	P83882
P83916	P83917
P84022	Q8BUN5
P84074	P84075
P84077	P84078
P84085	P84084
