W5XKT8	A0A8M9PDM1
P11413	A0A8M2B959
P11441	Q7ZWB2
P11487	P48802
P11488	Q90WX6
P11532	A0A0R4IXX0
P11586	Q7ZVV5
P11597	A0A8M3ARX3
P11717	Q2TTK0
P11766	Q6NXA6
P11801	Q501V0
P11802	Q08C29
P11831	A0A8M1NFF2
P11912	A0A8M1P8N4
P11926	Q9DGJ4
P11940	Q6P3L1
P12004	Q9PTP1
P12034	Q5TLE2
P12074	Q642I9
P12081	E9QI36
P12104	A0A8M2BI88
P12107	A0A8M2BA28
P12109	F1Q6P3
P12110	A0A8M9PVL2
P12111	A0A8M6Z0G5
P12259	B7ZVT7
P12268	B0UXP9
P12270	A0A8M3AQ68
P12277	Q8AY63
P12644	O57574
P12645	A0JML2
P12694	Q4VBU0
P12755	Q1ECW8
P12757	A0A8M6YU52
P12814	A0A8M2B3U1
P12821	A0A8N7T834
P12829	Q4QRD2
P12931	Q1JPZ3
P12955	Q7SXT5
P12956	F1QZ60
P12980	A0A8M3AT04
P13010	A0A8M1N4T7
P13051	A0A8M6Z6T9
P13056	Q503E0
P13073	Q6TNV0
P13196	Q7T2F0
P13224	B8JLP1
P13349	Q9DDW0
P13498	Q6PH62
P13521	A0JMK6
P13569	Q1LX78
P13584	E7FB64
P13611	A0A8M9PX21
P13612	A0A0R4ICS1
P13639	A0A8N7UVM4
P13667	Q1ECX9
P13686	Q7SXT1
P13693	Q9DGK4
P13716	Q568L9
P13796	Q6P698
P13797	Q6DG81
P13798	A0A8M6Z7W7
P13804	Q7ZUS9
P13805	B3DG30
P13807	Q7SYB8
P13861	A9C3T0
P13929	Q6TH14
P13984	A0A8M1MZY4
P13987	E7F2M5
P13994	Q66I85
P13995	Q6GMK2
P14061	F1QUP2
P14136	Q58EE9
P14174	Q0ZBR7
P14314	A0A8M2BBI5
P14316	A0A8M1P3S1
P14324	Q4V916
P14384	Q568G8
P14543	F1RAG3
P14550	Q568L5
P14625	Q7T3L3
P14635	Q9IB44
P14651	O42368
P14652	O42367
P14679	A0A8M1PAD4
P14735	A0A0R4IL71
P14770	A0A8M9PTA8
P14780	Q7T317
P14784	A0A8M2BIX1
P14859	A0A8M2BFA0
P14867	A0A8M3ALU6
P14868	A0AUR8
P14921	Q568B4
P14927	Q4VBV1
P15036	Q501S1
P15056	A0A8M1P7T0
P15086	F1QJN9
P15153	Q6IQN5
P15169	Q6NY94
P15172	Q90477
P15173	Q9DG26
P15259	Q7T3G4
P15260	D2JGP1
P15289	A0A8M1N4V1
P15291	C1KH59
P15311	Q5TZG5
P15336	F1QIZ9
P15374	Q504C0
P15407	A0A8M3AHY8
P15408	A2RUX8
P15428	E7F258
P15502	A0A8M6YT25
P15559	A0A2R8PW65
P15586	Q4V902
P15692	O73682
P15735	Q7ZYW8
P15822	A0A8M9PBC6
P15848	A0A8M9PII1
P15880	Q6NWC3
P15882	Q7ZUT6
P15907	F1QMH5
P15918	O13033
P15923	B1H1L4
P15927	Q504I6
P15941	A0A8M6YWH8
P15954	Q6PBP0
P16035	Q7SZM6
P16070	A0A8M6YYL8
P16109	E5DV48
P16144	A0A8M2BEB1
P16157	A0A8M9Q355
P16219	Q6AXI7
P16234	Q9DE49
P16260	B8A698
P16278	A0A8M2B6W2
P16333	E7F6M0
P16383	A0A8M2B5P2
P16389	A9JTD2
P16410	A0A8M2BEX8
P16444	A0A8M1P2W9
P16455	F1R3V2
P16471	A0A8M9PQC9
P16473	C0SKM5
P16499	A0A8M1N2Q4
P16519	B6VCA2
P16591	A0A8M3ASR9
P16671	Q6DHC7
P16870	Q6NSM5
P16871	E9QDP8
P16885	A0A8M1N9W3
P16930	A0A8M9PNK3
P17050	A0A0R4IJL2
P17081	Q7ZVI3
P17152	Q6NWH5
P17174	Q7ZUW8
P17181	A0A8M1N7Q2
P17302	O57474
P17342	A0A8M2BCR6
P17405	A0A8M1P933
P17480	F1QZ83
P17481	Q8AWZ0
P17482	Q9PWM2
P17535	B0V1Q6
P17542	O93507
P17544	Q4VGW9
P17568	Q6P6E5
P17600	B0UXI4
P17655	Q6DFZ8
P17676	Q7ZU07
P17677	Q90462
P17706	Q803R3
P17707	Q7ZVU7
P17735	A0JMN6
P17787	E7F4S7
P17844	A0A8M1PKV3
P17861	Q90X27
P17900	A0A8M2BKE8
P17936	Q66I28
P17947	A0A8M2BG46
P17948	B3DKP1
P17980	A0A8M2BG93
P17987	Q9W792
P18031	A0A8M1P706
P18074	F1Q5E7
P18075	F1QD07
P18077	Q6DGM0
P18084	Q1MSX8
P18124	Q6Q417
P18146	P26632
P18206	B3DI32
P18283	A0A8M1PAJ9
P18405	A5PMI4
P18433	F1QE38
P18505	F1QPW7
P18507	F1RDP2
P18545	Q7ZVI5
P18564	F1QGX0
P18615	A0A8M9PN91
P18621	Q7T1K0
P18754	Q6NY65
P18825	Q90WY6
P18847	Q7ZVX7
P18850	A0A8M1NGJ3
P18858	A0A8M1NJ81
P18859	Q6NYF7
P18887	F1QXI2
P19021	A0A8M2B2D2
P19022	Q90275
P19086	A0A0G2LAU9
P19087	Q90WX5
P19113	A0A8M2BH77
P19174	Q804J6
P19235	Q2VBQ8
P19320	A4JYI2
P19367	Q7ZUM3
P19387	Q7ZV11
P19388	Q6DEG5
P19404	Q6PBX8
P19419	A0A8N7UV82
P19447	Q7ZVV1
P19484	A0A2R8RRI1
P19525	A9YT50
P19544	Q9PUT7
P19623	A0A8M1PDY7
P19634	A0A8M2BKS9
P19784	A0A8N7T715
P19793	A2T929
P19801	A0JMP5
P19823	Q5RH29
P19838	A0A8M2BHN4
P19878	A2VCY2
P19971	A0A8M3B8W2
P20020	A0A8M9Q5T9
P20042	Q6NY78
P20062	A0A8M1NIB7
P20226	Q7SXL3
P20248	Q6NV43
P20265	P79746
P20273	A0A8M9QDH8
P20290	A0A8M2BJ50
P20292	F1QKS8
P20309	A0A8M9PNY8
P20336	Q5RGB5
P20338	Q6PHI9
P20340	A0A8M1P3Z5
P20366	A3KQK1
P20393	F1RAU6
P20396	Q5EDF9
P20585	A0A8M3B2S9
P20594	A0A8M3B2U7
P20618	Q6DRF3
P20645	Q6P032
P20700	F1QHC4
P20701	A0A8M2BI95
P20711	Q7SZR0
P20719	Q9YGT6
P20749	E7FFI8
P20783	A0A8M1P3S4
P20794	Q7ZTX0
P20807	A0A8M9PNP6
P20810	A0A8M2B865
P20823	Q8UVH4
P20916	F1QSA4
P20929	A0A8M3B5M2
P20933	A8KC00
P20936	F1R3X3
P20963	A7KX13
P21128	A1L237
P21246	Q502U6
P21281	Q8QHA6
P21283	Q7T385
P21359	E7FFY1
P21399	Q3YMK9
P21453	Q9DDK4
P21554	Q7T3Q3
P21579	Q5TZ27
P21580	A0A8N7T672
P21589	Q7SXU4
P21728	B6E506
P21730	P0C7U4
P21731	T2HVK6
P21781	B3DHR9
P21796	Q6NWC1
P21802	Q8JG38
P21810	A0A8M1MZN9
P21817	A0A8M9QL69
P21912	A5PL98
P21941	A5WWJ4
P21953	A1L2C0
P22003	Q7T288
P22033	A5D6S3
P22059	A0A8M6YZQ9
P22061	Q92047
P22087	Q7ZTZ4
P22102	Q9I9E6
P22234	Q7ZUN6
P22301	Q5EFQ8
P22303	Q9DDE3
P22304	A1A5V0
P22307	Q6P4V5
P22314	Q6P9P3
P22413	B0JZL7
P22415	Q7ZWC6
P22459	F1Q929
P22460	A0A8M9Q172
P22466	E7EZ53
P22557	Q9YHT4
P22570	E7FB58
P22607	Q9I8X3
P22670	A0A8M9P3K7
P22674	A0A8M2BGJ4
P22680	A0A8N7V041
P22681	Q5U376
P22695	Q6IQ59
P22736	Q6GMG3
P22792	A0A8M9PN03
P22830	Q9DFU9
P22888	Q6TCF8
P22891	A0A8M1P3F2
P22897	A0A0R4INM0
P23025	Q7SY02
P23109	A0A8M6Z0E5
P23142	O42182
P23193	Q7T3C1
P23219	Q8JH44
P23229	A0A8M2BER2
P23246	Q6NUU2
P23258	Q7ZVM5
P23280	A0A8M3ANQ1
P23284	Q6PBW4
P23327	A0A8M1RSH0
P23352	A0A8M9QG93
P23368	A5PN55
P23378	Q6PFN9
P23381	Q6PBS3
P23396	Q7ZVD9
P23409	Q6VNZ9
P23415	O93430
P23416	F1RDZ6
P23435	A0A8M2B618
P23443	Q802Y7
P23458	O12990
P23467	A0A0R4ITJ9
P23470	A0A1B1LZI1
P23471	A0A8M2BAH5
P23508	A0A8M9PZA7
P23515	A0A8M2B4N5
P23526	Q803T5
P23560	A0A8M1P735
P23582	A8E7F8
P23610	A2BIC9
P23677	F1QC01
P23769	A0A8M3AXB8
P23771	Q91428
P23786	Q5U3U3
P23919	Q3B752
P23921	P79732
P23945	Q6TCF9
P23975	F1R3H6
P24043	G8IHU0
P24046	A0A8M1RQZ2
P24278	A0A8M6YV15
P24385	Q90459
P24387	Q6DG79
P24468	Q91430
P24530	Q9DGM2
P24534	Q7ZV16
P24539	Q5XJJ3
P24557	Q1LUX9
P24593	A5PLA3
P24666	A0A8M1N4J0
P24723	B1H1I7
P24752	Q6AZA0
P24821	A0A8M9PKQ8
P24855	Q6DG72
P24863	Q6STL0
P24864	P47794
P24928	A0A8M2B2W1
P24941	Q7ZWB1
P25021	A0A8M1NAH7
P25054	A0A0R4IWH7
P25067	A0A8M1NDE0
P25100	A0A8N7TFC1
P25105	E7EZR6
P25116	A2BIP6
P25189	A0A8M6Z8A8
P25205	A0A8N7V092
P25325	A4QP04
P25391	Q45H72
P25398	Q6PC90
P25445	A0A8N7UR03
P25490	Q7T1S3
P25686	Q08BM3
P25705	Q08BA1
P25786	Q6DGX8
P25788	Q4V918
P25789	Q7ZV77
P25791	Q9PTJ3
P25800	Q8JFQ2
P25929	A7UD89
P26012	A0A8M9PB88
P26045	F1QLN8
P26196	E7FD91
P26358	A0A8M6YUX4
P26373	Q90Z10
P26378	A0A0R4IEW8
P26440	Q7ZTH9
P26639	A8KC60
P26640	A0A8M1P7Y5
P26641	Q6PE25
P26678	A0A8M1P2H4
P26842	A0A140LFV5
P26885	A9JSW0
P26992	A4JYQ0
P26998	Q52JI3
P27037	A0A8M9QFD6
P27105	A0A8M6Z3Q4
P27448	A0A8M3AL25
P27469	B3DJV5
P27544	A0A8M3AM29
P27658	X1WGI4
P27694	Q6NY74
P27695	A0MTA1
P27707	Q5XJM2
P27708	A0A8M3AL15
P27815	A0A8M3B8I9
P27824	F1QKS4
P27986	B0S6V7
P27987	Q5RGF8
P28062	O57330
P28065	Q9PUS3
P28066	Q6TGV6
P28069	Q6TGI4
P28070	A0A8M2B6L9
P28072	O57332
P28074	Q6IQD0
P28221	C0ITM0
P28222	B3DK14
P28223	A0A8M3B093
P28288	Q803I6
P28289	A0A8M9PX33
P28290	A0A8M6Z880
P28300	Q6NYT8
P28324	A0A8N1TTL1
P28328	E7F4V8
P28330	Q7ZYX3
P28331	Q5RKM2
P28336	A0A8N7UR00
P28340	Q2KNE0
P28347	A0A8M3B730
P28358	Q90469
P28370	A5WUY4
P28472	A0A8M2BDH7
P28476	A0A8M6YTV3
P28482	Q7ZW72
P28562	Q7ZVL8
P28566	A0A8M9P2V8
P28676	Q63ZW0
P28715	F1QJS3
P28749	B3DI38
P28838	A0A8M1NGB5
P29074	Q8JFS7
P29083	Q5SQE1
P29084	Q6NXA3
P29120	B6VCA1
P29144	A0A8M2BFH5
P29218	Q6DGB2
P29275	Q29ST4
P29279	Q5RI33
P29322	A0A8M3BDV7
P29350	A0A8M3AJ85
P29353	A0A8M6Z1Z9
P29372	A3KP69
P29374	A0A8M2B539
P29375	A0A8M6Z4S0
P29401	A0A8N7TEC8
P29475	A0A0R4IQG7
P29558	A0A8M6Z0J2
P29597	A0A8M3AQW8
P29973	A0A8N7T8Q4
P29992	Q5RKP9
P30038	Q7SY23
P30039	Q4VBJ8
P30041	Q6PBK9
P30043	Q6DGA0
P30044	Q502C8
P30047	Q6PBT6
P30048	Q5BJB9
P30049	Q6P1J5
P30050	Q7ZUG1
P30084	Q7ZZ04
P30085	Q7ZWE9
P30086	Q6NYS4
P30101	A0A8M1NXI0
P30260	F1Q5X3
P30273	A0A0R4IN58
P30279	A3KNN7
P30291	Q1LYE1
P30304	A0A8N7UYT2
P30408	E7FBS4
P30411	A0A8M3AR39
P30414	A0A8M1Q7A9
P30419	Q4VBR7
P30520	Q568F6
P30530	A0A8M6Z1G5
P30532	Q567Y7
P30533	Q7ZW96
P30536	Q5XJB6
P30550	A0A8N7TBJ3
P30566	A0A8M1PC34
P30622	E7F2X0
P30626	A0A8M2B460
P30793	A0A8M1NLW2
P30872	A0A8N7TFB6
P30874	A0A8M2BHW4
P30876	A0A8M1N6S0
P30939	A0A8M2B6K6
P30988	A0A8M9PPS1
P30989	E7EZ19
P30990	A0A0A7H8E2
P31040	Q7ZVF3
P31150	A0A8M1N618
P31152	B0V360
P31249	O42370
P31260	Q8AWY2
P31273	Q68EH7
P31274	Q9YGS6
P31314	Q8JI13
P31321	Q08C49
P31323	A0A8M6Z4G7
P31327	A0A8N7TAJ3
P31350	P79733
P31431	Q0JY12
P31483	Q7ZVY0
P31629	A0A8M2B7M4
P31639	Q6NWD8
P31644	E9QE70
P31645	Q1WGB5
P31749	M4MD44
P31751	Q8UUX0
P31930	Q6PBH6
P31939	B3DKL0
P31948	Q5RKM3
P32019	A0A8M3AQB1
P32121	A0A8M3AWN0
P32242	Q91994
P32243	Q91981
P32245	B0V1P1
P32248	A5PLI3
P32297	A0A8M1QHJ5
P32298	A0A8M3BE02
P32302	A0A8M9PQZ3
P32321	Q568L4
P32418	Q32SG8
P32780	Q66I03
P32927	A8WHB0
P32969	Q6DRM3
P33076	A0A8M3AQW0
P33402	A0A8M3AT28
P33527	A0A8M1PZJ1
P33552	Q6IQC3
P33897	F1RBC8
P33908	A0A8N7TEA1
P33981	Q8AYG3
P33991	Q6NZV2
P33992	Q6NV07
P33993	Q7ZVL6
P34059	A0A8N7UYM1
P34741	Q66I66
P34896	Q7SXN1
P34897	A9LDD9
P34913	Q5PRC6
P34925	E7FAI5
P34949	Q3ZB95
P34998	A0A8N7TFI2
P35070	A0A0R4INZ6
P35080	Q6AZA1
P35219	Q568S6
P35221	Q9PVF8
P35222	F1QGH7
P35226	Q8JIR0
P35232	A0A8M2BB12
P35240	B3DGL5
P35244	Q7ZUZ6
P35249	Q6DRF4
P35250	A0A8M1N4C3
P35251	A0A8M1NED6
P35268	Q32Q51
P35269	Q7ZV95
P35348	A0A8M1P8T8
P35354	Q5RI06
P35367	Q195J2
P35372	A0A8M1P6J5
P35398	F1QLY4
P35408	Q2N1D9
P35443	Q8JGW0
P35452	Q90471
P35462	A0A8M2B9M1
P35475	A2ARH2
P35556	A0A0G2KQ62
P35557	A0A8M1NAW0
P35558	Q7T3G9
P35568	E7F4P8
P35573	A0A8M2BAR0
P35575	A0A8M1NV27
P35580	A0A8M3BA62
P35606	Q6JWU7
P35609	Q2YDR5
P35610	B0UYE4
P35611	A0A8M9PQG8
P35613	A0A8M1PDN1
P35625	A0A8M2BLZ1
P35626	A0A8M3B3P8
P35638	A0A8M2BDJ9
P35658	A0A8M6Z6M9
P35659	A0A8M3AID6
P35680	A1L1N5
P35711	A0A8M9Q0N4
P35712	F8W2H3
P35749	A0A8M9QFE6
P35754	Q5XJ42
P35790	Q1LWF1
P35813	A0A8M9Q9J2
P35858	E9QJJ1
P35869	Q4U3K9
P35913	A0A8N7TAN6
P35914	Q7ZV32
P35916	Q5MD89
P35968	Q5GIT4
P35998	Q7T3B1
P36021	G8XYX6
P36383	Q66HV7
P36402	Q5PU93
P36404	Q5XJ51
P36406	F1Q4Q5
P36508	A0A8M3AUB7
P36542	A0A8M1P526
P36551	Q05AK3
P36578	Q7ZW95
P36639	Q7ZWC3
P36776	A0A8N7T7A0
P36871	Q7SXW7
P36873	A0A8N7T728
P36888	A0A8M1QKN2
P36897	B0EXP7
P36915	Q1LXP8
P36941	A0A8M2B2L3
P36954	Q1LVK2
P36955	Q66I20
P36956	A6XLD8
P36957	Q7ZVL3
P36959	Q503G5
P36980	A0A8M2B8I9
P37058	Q6QA32
P37059	A0A8M2BAC5
P37108	Q4V9I5
P37173	Q58EQ1
P37198	A8WFZ2
P37231	A6XMH6
P37235	Q6PC34
P37268	A0A8M9PPK1
P37275	Q9DEH7
P37287	B0S6Z8
P37837	Q6P6Y0
P38117	Q7ZV76
P38405	Q5U3H6
P38432	A0A8M1P873
P38435	A0A8M1RIV5
P38571	Q7ZTR9
P38646	Q5XJ12
P38919	Q7ZVA6
P38935	M9MM98
P38936	A0A8M1RFS1
P39019	Q6PBW7
P39023	Q6Q418
P39060	A0A8M9Q0C8
P39086	A0A8N7TB31
P39210	Q5TZ51
P39656	Q6NYS8
P39687	Q7ZUP0
P39748	Q6TNU4
P39880	A0A8M2BJX8
P39905	Q98TU0
P40126	A1L1Y0
P40145	B7UCF8
P40189	A8WH79
P40197	A0A8M9PS39
P40222	A5D6U5
P40227	Q7ZYX4
P40238	A0A8M2BDQ1
P40259	A0A8M3AY10
P40337	A1L296
P40426	A0A8M3AV99
P40429	Q7ZUR9
P40616	Q6DGK1
P40617	Q7ZTT9
P40692	Q6PFL1
P40763	A0A8M2BB24
P40818	A0A8M9P169
P40855	Q561W9
P40926	Q7T334
P40937	Q6DRK4
P40938	Q8AW06
P41002	Q6NYX6
P41134	Q6IQW5
P41145	A0A8M2BAU5
P41146	A0A8M1P286
P41180	A0A8M6Z789
P41182	A0A8M9PZK1
P41212	Q7ZU22
P41214	Q7SXY6
P41219	Q502Q7
P41221	Q92050
P41223	Q567Z7
P41235	A0A8M9PEX6
P41240	A0JMN4
P41247	A3KNP7
P41250	A0A8M6YVR9
P41252	A0A8N7UZX0
P41271	Q6NZ13
P41279	A0A8N7T7L4
P41440	E7F2A7
P41586	Q5C8U6
P41587	A7UH65
P41594	U3N5Y5
P41595	Q0GH74
P41732	A0A8M1NIF9
P41743	Q90XF2
P41968	F1QQG9
P42025	Q7ZUZ2
P42126	A0A8M1P1C1
P42127	B3DGI7
P42224	O93598
P42226	B3DGV1
P42263	Q71E60
P42285	Q6P7X6
P42331	A0A8M2BCD9
P42336	F1QAD7
P42338	E7F251
P42345	Q06RG6
P42356	A0A8M3AWF4
P42357	A4FUP1
P42566	F1QIJ6
P42575	A0A288CG41
P42679	A0A8N7T808
P42680	A9ULT3
P42684	A0A8M2BEE2
P42685	A0A8M9PC12
P42694	Q6NYU2
P42695	Q7SZF2
P42696	Q6DHU2
P42701	A0A8M9QM82
P42704	A0A8N1TT16
P42765	Q7ZVG1
P42766	Q8JHJ1
P42768	Q7T318
P42773	B0UXZ0
P42785	A0A8M3ASI7
P42858	A0A8M3AIT6
P42892	A0JMP1
P42898	B0V153
P43004	A0A8N7UZX7
P43005	D7RVR6
P43007	D7RVS1
P43026	A0A8M1RDK8
P43034	Q803D2
P43080	Q90WX4
P43088	D7R7W5
P43115	A0A8M6YZR3
P43119	E7FE45
P43146	Q49BB0
P43166	Q6PBI7
P43234	A0A8M9QL31
P43235	Q568D6
P43243	A0A8M2BKD7
P43246	Q803R6
P43250	A0A8N7UUW2
P43251	Q0P471
P43268	Q9PUQ1
P43304	A0A8M2BDB8
P43307	Q8AWW3
P43308	A0A8M1MZK6
P43320	Q52JI4
P43351	F1QXE3
P43354	A0A2R9YJF7
P43378	E7F716
P43403	Q503P3
P43405	A0A8M2B201
P43487	Q6NWK3
P43681	Q0PJT8
P43686	B0R1D0
P43694	Q09JY7
P43897	A1A5Z3
P45381	A8KB34
P45452	A0A8M1Q2B6
P45844	A4QNW0
P45877	A0A8M1RLJ5
P45880	Q8AWD0
P45954	F1QFQ7
P45973	A1L223
P45974	Q1MT86
P45985	B1NA68
P46013	A0A8M1NZY3
P46019	A0A8M9QI67
P46020	A0A8M3AME4
P46063	A0A8M9PHB7
P46087	A0A8M1P6F7
P46091	A0A8M1PSR8
P46093	A0A8M2B4J4
P46095	A0A0G2L0R2
P46098	A0A8M3AM85
P46100	A0A8M9QKH6
P46108	Q6DEM2
P46109	Q6PH06
P46199	A4IG41
P46459	A0A8M9PEX3
P46527	Q90YX4
P46531	A0A8M2BFY6
P46695	A0PJR9
P46736	A0A8M3B525
P46776	Q6P2M0
P46778	Q6IQQ0
P46779	F1QFV6
P46781	Q6P5M3
P46782	Q6PC80
P46821	B2ZZ14
P46937	Q1L8J7
P46940	A0A0F7C9F3
P46952	Q5U3F8
P46977	Q7ZUY9
P47211	A0A8N7TFH8
P47224	Q6DGQ2
P47756	A0A8M3AUB3
P47775	E7FFG5
P47813	Q4V9N9
P47869	A0A8M3AYY1
P47871	E7FB43
P47895	Q0H2G3
P47897	Q7ZWG7
P47900	A0A0N4SUG9
P47914	Q6DGL4
P47928	Q32PN8
P47989	A0A8N7UV58
P48023	Q0PKX7
P48029	A0A8M1P953
P48047	Q6DRD1
P48051	A0A8M2BKC6
P48059	A0A8M9QLM6
P48060	A0A8M6YY67
P48066	A0A8M6Z396
P48067	Q4FIV6
P48147	Q503E2
P48165	Q503J6
P48169	Q568M9
P48200	A0A8M2BA36
P48230	Q6DBQ4
P48307	Q1WCN6
P48357	A0A8M1P6L4
P48378	Q5EAP5
P48380	A0JMF8
P48382	A0A8M2B678
P48426	B3DJ34
P48431	Q6P0E1
P48436	Q9DFH2
P48444	Q7ZW27
P48449	A4FVM4
P48506	Q6NV35
P48507	A0A8M3AUZ9
P48509	Q6P031
P48544	A0A0R4IAD0
P48546	E7FCX8
P48549	E7F2Y9
P48553	A0A8M1RHJ2
P48556	Q6IQH4
P48634	A0A8M2BHC6
P48637	F1RC64
P48643	Q6NVI6
P48645	F1R3S7
P48681	P86839
P48723	A4QNX8
P48728	Q5XJA4
P48729	Q8JHE0
P48730	Q6P3K7
P48735	Q7ZUP6
P48736	A0A8M9Q5U7
P48739	F1QRW4
P48740	X1WH68
P48742	Q90476
P48751	A0A8M3AWC1
P48995	E1U7G1
P49005	Q90X40
P49023	Q6R3L1
P49069	A0A8M1PHG7
P49116	F6PDV8
P49137	Q7T2F2
P49207	Q7ZWJ7
P49247	Q5U3H4
P49257	A0A8N7UQW5
P49281	Q1RLY4
P49321	A0A8M1PBV7
P49327	E7F5V3
P49336	Q8JH47
P49354	A1L1V1
P49356	Q6IQG3
P49366	Q6NYK1
P49368	Q8JHI7
P49406	Q6DC47
P49407	C3PTE8
P49411	Q5BJ17
P49418	A0A8M9QKX1
P49419	Q803R9
P49427	Q803V7
P49441	A0A8N7TAF6
P49447	A0A8N7UZ43
P49454	F1Q7X5
P49458	Q7ZW94
P49459	Q789K9
P49585	Q568K8
P49591	Q6DRC0
P49593	A2BE49
P49638	A0A8M1PFT6
P49639	Q98SI1
P49640	A0A8M1PBM6
P49641	A0A8M3AWC8
P49642	Q7ZUR8
P49643	B8JIP2
P49674	Q6P109
P49675	Q9DG10
P49682	F1Q6R0
P49703	Q6P5L0
P49711	Q6JAA4
P49715	Q8UVZ1
P49716	Q8UVY9
P49720	Q7ZUJ8
P49721	Q6DHI9
P49736	A0A8M1PE13
P49748	Q7T2C2
P49750	F6P6X1
P49754	E7F590
P49755	Q6NWI7
P49756	A8DZA0
P49757	Q1XD15
P49758	Q38JL1
P49760	Q1L8U4
P49763	A0A8M6Z2H3
P49767	Q7T3I6
P49768	Q9W6T7
P49770	Q6NXC7
P49773	Q642J0
P49789	Q6PBZ7
P49790	A0A0R4IVZ0
P49796	A0A8M3BA25
P49798	Q6TEM0
P49802	A0A8M9PKN0
P49810	Q90ZE4
P49815	A0A8M9PW15
P49821	Q6AZA2
P49841	A0A8M3AVR7
P49848	Q66HZ5
P49895	A0A8M1P8S9
P49902	A0A8M2B3I7
P49903	Q7ZW38
P49914	A0A0G2L0J2
P49915	A0A8M1PBG7
P49916	A0A8M1N7I1
P49917	A7E283
P49918	Q6IQT7
P49959	A0A8M9QPT3
P49961	E7FG27
P50052	Q5CZS2
P50053	A0A8M9PE63
P50120	Q8UVG6
P50135	Q6DC37
P50148	B8JLJ7
P50150	A0A8M9Q1C1
P50151	A0A8M1P1V0
P50213	Q6NV33
P50219	Q6SYZ1
P50221	F1Q4R9
P50222	E7FEH1
P50238	Q5BKV7
P50336	Q32LU4
P50395	Q7ZVL9
P50402	E9QIK0
P50406	A0A8M3ANX4
P50440	Q6PH19
P50443	E7F9I7
P50458	B0R107
P50461	A0A8M1P2D0
P50479	Q0PWB9
P50539	P50541
P50542	A0A8M3AHU4
P50549	B3DIF9
P50553	Q90259
P50570	A0A8M9PHT6
P50579	Q7SXK1
P50583	Q6DG97
P50591	Q6DHG9
P50607	A0A8M9PZ13
P50613	Q2V6H0
P50747	A0A8M1RR82
P50748	A0A8M3B017
P50749	A9C3N2
P50750	Q7SXE8
P50851	A0A8M3APD0
P50876	Q5RFV4
P50897	F1R8J6
P50914	Q6DRN7
P50990	A0A8M2B296
P50991	Q6PH46
P51114	A0A8M1P7M4
P51116	Q6NY99
P51149	Q7T2C6
P51151	Q0P458
P51153	Q7T3A4
P51157	Q7ZVW0
P51159	Q4V8U8
P51160	Q6P4P8
P51161	Q6IMW5
P51397	Q9I9N1
P51398	A5PLH1
P51451	A0A8M6YUU4
P51452	E7EXY0
P51512	A0A8M3AMT4
P51530	A0A8M9PSF9
P51531	A0A8M3ASL9
P51532	Q7ZSY3
P51553	F1QZA4
P51570	Q5XJU9
P51571	Q6IQ57
P51572	Q7ZUJ4
P51575	Q7SZM0
P51582	A0A8M2BL13
P51587	A0A8M2B481
P51606	A0A8M1NHG0
P51608	Q7T2T7
P51610	A0A8M9PQY4
P51617	A0A8M2BE72
P51636	Q6IQM8
P51649	A0A8M3AQW4
P51654	Q6V9Y8
P51659	A0A8M9PQQ8
P51665	Q7ZYX7
P51684	A0A8M1RMF0
P51687	A0A8M1P7X9
P51688	A0A8M1NG51
P51693	A0A0R4IXG2
P51790	A0A8M9Q887
P51793	Q08BG8
P51797	A0A8M3AVK2
P51798	A0JMG8
P51805	B0S5N4
P51808	Q6TGT3
P51809	E9QC42
P51810	A0A8M3AWB8
P51811	Q5GH44
P51812	A0A8M3AP68
P51817	F1QN39
P51826	A0A8M3AW05
P51841	B3DHF2
P51843	A3KNP5
P51861	A0A8M9Q157
P51884	Q6IQQ7
P51888	A0A8M1QLS6
P51911	A0A8N7UVF7
P51946	A0A8M9QDW3
P51948	Q5XJT0
P51955	Q7ZUN2
P51956	A0A8M9PLB0
P51957	Q7T299
P51959	A0A8M9QP15
P51970	Q6PC22
P52198	Q0P4B0
P52209	F1Q883
P52292	Q6DI01
P52294	A0A8N7TBY9
P52298	Q8JGR6
P52306	A0A8M9Q945
P52429	A0A8M1NVX4
P52434	Q568H8
P52435	Q4VBU5
P52564	Q9DGE0
P52565	Q802W6
P52566	Q7SZQ6
P52569	Q5PR34
P52594	A0A8M9QBV1
P52655	Q7ZUK2
P52657	Q503H9
P52701	Q803S7
P52732	A0A8M1PAA3
P52735	A0A8M9PUI9
P52739	A0A2R8QJR9
P52746	E9QCQ3
P52747	Q1LYE3
P52756	A0A8M1NE58
P52757	E7F3K5
P52758	Q6AXL2
P52788	Q9YGC9
P52789	Q7ZVL7
P52803	P79728
P52815	X1WHQ5
P52824	A0A8M2BLX1
P52848	A0A0R4IR84
P52888	A0A8M2BK60
P52926	Q6P038
P52945	Q6DC85
P52948	A0A8M1PHK6
P52951	Q8QGU1
P52952	Q98872
P52954	Q6ZM39
P53004	Q08CI5
P53007	F1R4U0
P53041	A0A8M2B3I0
P53350	Q4KMI8
P53355	A5WVL9
P53367	A0A8M2BI30
P53370	A3KNL9
P53384	Q6P298
P53396	Q6DG67
P53567	Q8UVY8
P53582	Q4QRK0
P53597	Q66I58
P53602	Q5U403
P53609	Q4V8Z9
P53611	Q4V946
P53618	Q66HV4
P53621	Q6DRK5
