A0PK11	A0A2I3RH01
Q5TGI4	H2R6W4
Q5T9G4	H2R7D6
Q07973	H2R8V0
P78509	H2RC93
P62857	H2RIH6
Q9H4I9	K7AKX1
Q8WTR2	K7B379
Q92993	K7BDV3
O60832	K7CJN9
Q9UBX5	K7DKI2
P55196	A0A2I3RB42
P52788	A0A2I3RIQ7
Q6UW02	A0A2I3RK78
O75081	A0A2I3RXY4
Q96NY7	A0A2I3S2C9
Q07864	A0A2I3S482
E5RG02	A0A2I3S568
Q8NET5	A0A2I3S655
Q6UWB1	A0A2I3S6U0
A6NMN3	A0A2I3S6Y2
A6NES4	A0A2I3SB13
Q5T7M4	A0A2I3SB54
Q6NT76	A0A2I3SH56
P31270	A0A2I3SJN7
Q9NRR4	A0A2I3SKF5
P62891	A0A2I3SZX4
Q96KR7	A0A2I3T2J9
Q86Y07	A0A2I3T725
Q96JX3	A0A2I3T9R6
Q01201	A0A2I3TGI5
Q96EK4	A0A2I3TI51
Q16676	A0A2I3TT18
Q6PHW0	A0A2I3TW58
Q9NXZ1	A0A2J8JPD9
Q9NX40	A0A2J8L371
A0A1B0GVX0	A0A2J8LA36
Q9BZ72	A0A2J8MCW4
Q8N5I9	A0A2J8MZU3
P25205	A0A2J8P0X9
Q9NXE8	G2HFZ2
Q9BSE5	H2PY37
O75937	H2PYG8
P07098	H2Q282
Q5VWI1	H2Q2S5
Q9Y5U2	H2Q2X0
A7KAX9	H2Q541
P21128	H2Q5S4
Q9Y3Q3	H2Q9X3
Q9H6Q4	H2QA85
Q9Y3E5	H2QDK5
O75952	H2QEC9
P32119	H2QFG9
Q96RE7	H2QFI4
P28358	H2QJ12
Q9H4I8	H2QLU1
Q96HR8	H2QQD4
Q8TBP5	H2QRA0
Q15544	H2QSV3
Q96EE4	H2QU98
Q9UI42	H2QVD6
Q7Z7K2	H2QVK9
Q9H8W4	H2QWG2
Q9H8X2	H2QXG8
Q99436	H2QXV4
Q8NEE8	H2QXX5
P51606	H2QZA1
Q9HC57	H2QZT0
P52738	H2R0B8
Q96J42	H2R143
Q8TDV5	H2R3H0
A8MTJ3	H2RBI6
Q30KQ5	H2RBT5
Q96JL9	H2RBZ2
A8MXZ3	H2RDK6
Q13886	H2RES0
Q96D53	K6Z9I0
Q9UN37	K7BC82
O95400	K7BFX6
Q5T6S3	K7BK94
Q8IVH8	K7BKY5
O94763	K7CIT3
Q8N8L6	K7CV57
O76093	K7CX16
Q66K89	K7D3G1
Q9Y5H2	Q5DRC0
Q13882	A0A2I3RCA3
Q15413	A0A2I3RD84
Q8NGJ8	A0A2I3RK46
P13716	A0A2I3RKG7
P0CK96	A0A2I3RNT3
Q9P1W8	A0A2I3RUN8
Q8IYY4	A0A2I3RUU2
F5H4A9	A0A2I3RW79
Q9NY65	A0A2I3S2I3
Q92887	A0A2I3SLS7
P0CG40	A0A2I3SRP8
Q96MC6	A0A2I3STL5
Q8NCE2	A0A2I3SVM4
Q8WWZ3	A0A2I3SXZ6
Q8N8D9	A0A2I3TGF2
Q9NQV5	A0A2I3TN23
A0A0B4J262	A0A2I3TQV9
O76071	A0A2I3TW00
O75969	A0A2J8KM22
Q13607	A0A2J8QUK5
Q07699	A5A6L6
P12956	G2HER7
P41143	H2PYH8
O43847	H2PZ07
Q7Z2D5	H2PZG5
Q5TA77	H2Q010
Q6ZUJ8	H2Q2C2
P62851	H2Q4X3
P16219	H2Q719
P56851	H2Q7X0
Q96BY2	H2Q8T9
Q8N635	H2QAB3
Q7Z402	H2QAN3
Q9HCJ6	H2QBJ9
Q8WUS8	H2QBL1
Q9H2F9	H2QEK4
Q8TF64	H2QEZ0
Q96NW4	H2QFZ0
Q96GY3	H2QG42
Q9BSG1	H2QIB7
Q5H9S7	H2QIZ0
Q15111	H2QJ75
Q9H3Y0	H2QKE2
Q8NEX5	H2QKG1
Q6IBW4	H2QLY1
Q5JPI3	H2QMY6
Q709F0	H2QNE0
Q9H4D0	H2QNH4
Q9NPH3	H2QNY9
Q6ZRC1	H2QP61
Q9NYQ8	H2QRU2
Q9NT68	H2QRY8
P05305	H2QSB1
Q9Y3N9	H2QSK8
P28068	H2QSS0
O95835	H2QTW5
Q8TAP9	H2QUG8
P08476	H2QUH0
Q9BRU9	H2QWL7
Q9UKT8	H2QXS8
P29377	H2QYC5
Q9P1Q0	H2R1P2
O14678	H2R2S5
Q14527	H2R3U6
Q8NGJ6	H2R5M1
Q16512	H2R6B7
Q8WWX9	H2RCR3
Q9HBI1	H2RD24
Q8NI60	K7A7D2
Q5SVS4	K7A9I0
O00311	K7B2L9
O60296	K7B914
Q8IW50	K7BMS4
Q96BN8	K7BWK3
P50570	K7CG09
Q9HBR0	K7D6N2
Q9BX74	K7DMZ4
Q96FJ0	A0A2I3RGS2
P15918	A0A2I3RIF0
Q9HCX3	A0A2I3RTZ1
Q969W1	A0A2I3S2N8
O94979	A0A2I3SM13
A6NN92	A0A2I3SPF3
O75610	A0A2I3SR52
O15520	A0A2I3T2G6
Q15700	A0A2I3T623
Q92766	A0A2I3TAS7
Q96IL0	A0A2I3TH01
Q9H8W5	A0A2I3TLJ8
Q9UL25	A0A2I3TNY4
Q9Y2N7	A0A2I3TR97
Q9HBU9	A0A2J8M3H2
Q9H8H2	A0A2J8NAI3
Q96MC5	G2HFK0
Q99487	H2PYD1
Q8N8Q1	H2PZK6
P28070	H2PZZ0
P33763	H2Q032
P29373	H2Q0A2
P15104	H2Q0Q5
Q8WV28	H2Q2B8
Q8N0S2	H2Q2U1
Q8NGI3	H2Q305
Q86XZ4	H2Q5V4
A6NGE7	H2Q7C6
Q6UX06	H2Q7M2
Q96GQ5	H2QB07
P51116	H2QC50
O60543	H2QE99
P17568	H2QFK7
Q8NE63	H2QGC4
Q05469	H2QGG6
O95460	H2QKF2
Q9BWX5	H2QKQ9
Q8WYQ4	H2QLC8
Q09472	H2QLS0
P82663	H2QM45
Q13107	H2QML3
P30408	H2QNK1
Q96EP9	H2QPF7
Q9NY37	H2QQC1
Q9P0J6	H2QQL3
Q96RF0	H2QQW2
Q9UJN7	H2QSI4
Q6P4F1	H2QW03
Q15397	H2QWZ0
Q96PU4	H2QX03
O95150	H2QXR7
Q53FP2	H2QYW4
O75052	H2R0I9
Q96RD9	H2R2D6
P48443	H2R383
P50548	H2R3U4
P07357	H2R3U7
P07910	H2R462
Q86XX4	H2R4C8
Q8IW52	H2R4I2
Q86SI9	H2R5Q2
P59796	H2R7J0
Q96RQ9	H2RBS6
Q96RD6	H2RCN7
Q9Y6N7	H2RD56
Q5BJE1	H2RDD8
Q4U2R8	H2RE17
P0DH78	H2RGU7
Q9Y4Z0	K6ZIP9
Q96RY7	K7ANH9
Q9H444	K7ARG0
P78539	K7B5Z1
P35548	K7D1L0
Q6PD62	K7D8C0
P10153	P47785
Q8IWL8	Q5YCU8
O75914	Q7YQL4
O75063	A0A2I3RJH2
Q969R2	A0A2I3RUE9
Q49A88	A0A2I3S019
Q86YW5	A0A2I3S110
A0A0K0K1G6	A0A2I3SCZ6
Q16827	A0A2I3SMH2
Q5T890	A0A2I3SXR0
O14737	A0A2I3T3R7
Q6IMN6	A0A2I3TJB8
Q8NH56	A0A2I3TNJ5
Q92784	A0A2I3TTJ2
P63302	A0A2I3TWT9
P51508	A0A2J8IU55
Q9H069	A0A2J8J374
Q14116	A0A2J8L0A3
Q71H61	A0A2J8LM05
Q8N7H5	G2HE44
P21506	G2HH24
Q9NZL9	G2HHR9
Q5TA50	H2PXT6
Q13643	H2PYQ1
Q8NEP7	H2Q0F7
P47712	H2Q0T0
Q6XR72	H2Q155
O14832	H2Q1M5
Q8IU99	H2Q2J0
Q8NBF2	H2Q2L4
P16233	H2Q2M3
P04040	H2Q3E5
Q8NGQ4	H2Q3P9
Q01362	H2Q3S1
Q9GZN4	H2QAE5
Q86WU2	H2QBI7
Q8WVC6	H2QD83
Q9H3N8	H2QED2
Q8IUL8	H2QFV6
Q7RTR0	H2QH79
Q9BYM8	H2QJS6
Q9NTZ6	H2QK97
P82932	H2QKZ5
Q9NUJ1	H2QN34
P49736	H2QNA7
Q86UW1	H2QP07
O60264	H2QQ80
Q71F23	H2QQI3
P0C0S8	H2QSG5
P08238	H2QT34
P26012	H2QU86
Q9UM22	H2QUG1
Q96LD1	H2QVS2
Q6WKZ4	H2QW12
O14684	H2QY11
P51617	H2QZA3
O75122	H2R009
Q14872	H2R0J1
O14796	H2R3S1
O95985	H2R4A2
Q9UBF1	H2R4I3
P0C1S8	H2R4X6
Q13131	H2R5J0
Q96B18	H2R5Y5
Q6UXI7	H2R8V5
P27658	H2RD92
P56179	H2RDF2
Q86VD9	K7A5K5
Q8N9B4	K7AGK6
O60749	K7AMI8
Q8N8Q9	K7AV51
Q9HCN3	K7B2S0
Q96T60	K7BAU7
O96005	K7BI94
P19634	K7CFV5
Q6PJG6	K7CMM8
Q92979	K7CTR3
Q9NWK9	K7DL00
P18858	K7DLA3
Q5BKT4	K7DPD2
Q7Z7L9	A0A2I3RC04
Q8WVH0	A0A2I3RC89
Q8TCB7	A0A2I3RDB8
Q9H0C3	A0A2I3RIM2
Q96K17	A0A2I3RQM9
Q9UQM7	A0A2I3RUN1
Q9Y6N9	A0A2I3RX01
Q8IYW2	A0A2I3S9N7
O14733	A0A2I3SB47
Q2TAA5	A0A2I3SEU5
P98196	A0A2I3SJZ7
Q9ULV5	A0A2I3ST17
P36402	A0A2I3SWP2
Q9UHC3	A0A2I3SYB5
Q3MIR4	A0A2I3T7C8
P07686	A0A2I3TDT0
Q5SQQ9	A0A2I3TJG6
Q96PQ0	A0A2I3TTT0
Q3SY56	A0A2J8J9G6
Q8NEK8	A0A2J8KK13
Q8NGZ6	A0A2J8KNT0
O43813	A0A2J8N630
P15086	A0A2J8P2V7
Q16610	G2HFJ3
Q13564	G2HJ78
P20073	G2HJV7
Q5SNV9	H2PY10
Q9GZP4	H2PYB1
Q96DT6	H2PZ58
Q5T1B0	H2Q0P4
Q9BRX8	H2Q262
P21917	H2Q2V4
Q9NRE1	H2Q2Z0
Q9BX59	H2Q5A3
Q8NH09	H2Q5T4
Q96FN9	H2Q853
P37108	H2Q957
P42229	H2QD19
P31152	H2QEJ2
Q9NPH2	H2QFT3
Q86WQ0	H2QFU9
Q8N831	H2QHX0
Q8WVK2	H2QI18
Q6ZVZ8	H2QJN9
Q9NQ40	H2QJS8
Q9H426	H2QKE8
Q969N2	H2QKF7
Q495A1	H2QN49
Q8NE79	H2QTG8
Q6UWF9	H2QVF7
Q68CJ6	H2QVY6
P55040	H2QWF7
O95170	H2QZL4
Q6ZMV7	H2R092
O75154	H2R1E0
Q9GZV5	H2R2X1
Q8NC69	H2R3I1
Q14457	H2R446
O94817	H2R5G2
Q5VYV0	H2R6M6
Q70EL4	H2R9J1
Q13404	H2RE03
Q9Y4Z2	H2RFA6
Q96GX2	H2RHF5
Q9P2X0	K6ZAX2
Q6P3X8	K7AM28
O76024	K7AUQ0
Q6UXH1	K7AXB2
P31641	K7BAK0
Q9C0E8	K7BXH5
Q16543	K7C509
P23219	K7C9Z9
P56182	K7CF65
Q9BUT1	K7CRE4
P19784	K7CVS9
Q9P227	K7CW73
O14521	K7D011
Q92546	K7DI32
P0CG47	P0CG65
O60927	Q7YR30
A0AUZ9	A0A2I3RB91
Q8WZA2	A0A2I3RC74
A0A087WTH1	A0A2I3RQ51
P49790	A0A2I3RU37
Q96B86	A0A2I3RZK5
Q9Y646	A0A2I3S1G7
Q6PCT2	A0A2I3SH00
P16278	A0A2I3T356
Q9GZP7	A0A2I3T3M2
Q8NFJ9	A0A2I3TCH5
Q7Z3D4	A0A2I3TLK8
Q9Y691	A0A2I3TN62
O75891	A0A2J8KAV5
Q96MH6	A0A2J8L505
O76002	A0A2J8NWU9
Q6UWU4	A0A2J8NZ96
Q96CE8	A0A2J8P2T9
Q9UL59	A0A2J8P686
Q8IZ08	A0A2J8PHY1
P48736	A0A2J8QY32
Q969R8	G2HGW5
Q5K4L6	H2Q041
Q9BTU6	H2Q2D4
Q8NGJ9	H2Q2Y7
Q9Y2E6	H2Q3Q7
Q06481	H2Q546
Q8IYU8	H2Q7A0
O15439	H2Q7Q1
P25963	H2Q867
Q03169	H2Q8Y6
O43304	H2QAJ0
Q9BQG0	H2QBX7
Q92988	H2QDE1
Q96A33	H2QDN3
Q6UW68	H2QFD6
Q13351	H2QFH4
O95707	H2QFY4
Q9BQQ3	H2QMB8
Q8N112	H2QMN5
P29083	H2QN66
Q9P283	H2QN85
Q96KP6	H2QQ38
Q9UH73	H2QRX0
Q6NTE8	H2QS59
Q96RJ6	H2QU83
Q8NEM1	H2QUN1
Q9NV12	H2QVF0
P21281	H2QVT8
P17010	H2QYE9
P22694	H2R1G3
P23276	H2R252
Q6ZS10	H2R2L8
Q8TF68	H2R2P2
Q8NGY2	H2R3I5
Q86X53	H2R456
Q96DE5	H2R7P6
Q68DE3	H2R838
Q629K1	H2R9S0
Q9UBQ0	H2RBF6
P0C7M7	H2RBV3
Q9H1R2	H2RCB5
Q9Y4F4	H2RDN3
Q5I0X4	H2RFW7
Q9ULJ6	K6ZW30
Q9P121	K7A8D7
Q765P7	K7AJC5
O14709	K7APN7
Q0IIM8	K7AUH0
P51553	K7AY59
Q3YEC7	K7AZ33
Q9Y6P5	K7B8T7
Q9UHL4	K7BC74
P16949	K7BI32
Q8TAC2	K7CSV4
P51991	K7DJX6
P53701	K7DKZ2
O95178	Q0MQC9
Q5EG05	A0A2I3RFR4
Q7Z7L8	A0A2I3RJJ0
Q9H9P5	A0A2I3RJU4
Q9NW08	A0A2I3RLS4
Q92772	A0A2I3RVP7
Q9NQV8	A0A2I3RW29
A0A075B6V5	A0A2I3RXT6
P17947	A0A2I3T454
P51810	A0A2I3T4A6
P55287	A0A2I3T5J8
O75920	A0A2I3TFB5
P98095	A0A2I3TFQ9
P60953	A0A2I3TL10
Q9HCE1	A0A2I3TLH9
O43593	A0A2I3TLP4
A8MQ14	A0A2I3TPQ0
A0A0J9YXV3	A0A2I3TS44
Q6P280	A0A2I3TSX8
Q8NCK3	A0A2J8JDP3
Q9BXU7	A0A2J8JSL1
Q9UM19	A0A2J8LYS1
O15335	A0A2J8MG31
P46977	G2HEN1
Q9HC21	G2HIB0
Q8TDY3	H2PXV4
P28906	H2Q118
Q14739	H2Q178
O14904	H2Q194
Q9P0M6	H2Q209
O75940	H2Q2K2
P11684	H2Q3V6
Q0P6D6	H2Q520
Q6ZXV5	H2Q6K7
Q70UQ0	H2Q6P0
Q0P6H9	H2Q9A1
O15014	H2Q9L0
Q96LW2	H2QCI3
Q9Y5U9	H2QEH8
Q9Y5X9	H2QEI5
Q8IUC4	H2QFZ6
Q86T29	H2QH13
Q9BWC9	H2QH75
O00566	H2QI35
Q13724	H2QI63
Q4G0U5	H2QIM5
Q7Z7H3	H2QJE6
Q9BYB0	H2QLY5
Q9BXB4	H2QN96
Q7Z3E1	H2QNM7
Q96KC9	H2QPL5
Q9BT78	H2QPT3
Q68DH5	H2QQR9
O95235	H2QRK1
Q96PL1	H2QRQ8
P46095	H2QTJ5
Q99489	H2QTJ8
Q5TF39	H2QTK4
Q9UBP5	H2QTP5
Q9NX62	H2QW71
Q8N239	H2QYE2
P32247	H2QZ61
Q5K4E3	H2R0E2
Q9HAH7	H2R153
Q5T8A7	H2R159
Q8NI08	H2R196
Q9Y6K8	H2R2P9
O60427	H2R2R9
Q8WV19	H2R313
O60880	H2R4K1
O43555	H2R949
Q969K3	H2RE11
Q8WWK9	K7A9E3
Q6SZW1	K7AVX3
Q9H2H9	K7B6S6
Q96H78	K7BC85
Q9Y5X3	K7BDP9
Q9NRL3	K7BYN8
Q8NCM8	K7CDZ6
P19419	K7CJD1
P55198	K7CND7
Q9NP50	K7CV52
Q9NUD9	K7DNW1
Q9NPG2	Q3KN66
P25686	A0A2I3RJP8
P54277	A0A2I3RPI6
O43865	A0A2I3RPS6
Q9UPE1	A0A2I3S3F0
Q9NZG7	A0A2I3SGM5
Q6ZNG0	A0A2I3SYU4
P04435	A0A2I3SZE5
Q9BPX1	A0A2I3T9G3
P0DP75	A0A2I3TEW7
Q8IWQ3	A0A2I3TPG5
A0A0A6YYK1	A0A2I3TTT9
Q9UKL3	A0A2I3TW06
Q9UBM1	A0A2J8J342
Q96F07	A0A2J8NK93
P01258	A0A2J8P594
A8K979	A0A2J8Q5V4
Q9UQ80	G2HIS6
P06132	H2PYW8
Q86VH5	H2Q1Y8
Q8N2H3	H2Q2E1
Q9NWW9	H2Q3Y2
Q86UB9	H2Q4I7
Q9NR20	H2Q590
P18846	H2Q5X1
Q9BVL2	H2Q7B2
P06400	H2Q7K0
O00410	H2Q7Q8
Q16667	H2Q8C0
O75326	H2Q9S6
Q9ULH7	H2QAL9
Q9H6Y7	H2QBZ2
P23515	H2QCM1
Q7RTS6	H2QDT8
Q8NCQ2	H2QEV3
O75792	H2QFH0
Q8WWY3	H2QH35
A6NI73	H2QH39
Q9BWM5	H2QHA2
Q9BWP8	H2QHD5
P61026	H2QHK2
Q07837	H2QHU4
Q9H9J2	H2QJI8
Q9BV94	H2QK90
Q9UDX3	H2QLH3
Q92997	H2QNU7
P12034	H2QPS2
Q7Z3T8	H2QR58
O15205	H2QSL3
P01920	H2QSR6
Q9NU22	H2QTE8
O75626	H2QTH1
P56880	H2QTY2
Q8IV56	H2QUC4
P10243	H2QW90
O15287	H2QX76
Q8IVF6	H2QXB0
P63244	H2QZD6
Q9UK61	H2R0J6
Q6ZNM6	H2R0J9
Q96DB5	H2R289
Q9NSG2	H2R2Z2
Q6ZNW5	H2R3E6
Q9NTI2	H2R475
Q9NQV7	H2R5H8
O43592	H2R7H3
A8MTL9	H2R7P0
A7E2U8	H2R9X0
P01023	H2RC06
Q99558	H2RC20
P0CJ74	H2REL9
O43747	K7B168
Q9UG01	K7B8Z3
Q8NFB2	K7BVU3
Q5FYB0	K7CJ45
Q8NB46	K7CMT6
Q86YT9	A0A2I3RDZ2
P19105	A0A2I3RIH5
Q9UHC6	A0A2I3RK24
Q9NR99	A0A2I3RQ50
Q14031	A0A2I3RZ64
Q9H9Y6	A0A2I3S2L7
Q14814	A0A2I3SAX9
Q8NEW0	A0A2I3SFY0
P22413	A0A2I3SPY7
A0A0B4J2H0	A0A2I3SUC8
P21964	A0A2I3SYL3
Q9Y6F1	A0A2I3SZJ2
Q16617	A0A2I3T4Q1
O75264	A0A2I3TCP7
Q86V81	A0A2I3TKX9
Q63HQ0	A0A2I3TQT7
A0A1B0GW64	A0A2I3TS24
Q9H0Z9	A0A2I3TUQ4
A0A0G2JLW4	A0A2I3TWE5
Q8TAX9	A0A2J8KGV5
P03973	A4K2P4
Q9UKF6	G2HFH0
Q9H0S4	G2HGR8
Q9H4A9	G2HIU8
P17025	H2PYV9
Q9NUJ3	H2Q3D5
Q8IUM7	H2Q466
Q13224	H2Q5I0
P55064	H2Q5W2
P78385	H2Q5Z2
Q86UY8	H2Q6R2
Q9Y244	H2Q7C9
P50281	H2Q7Z4
Q15796	H2QEH9
P43146	H2QEJ8
Q8TA94	H2QFF8
Q05215	H2QI47
P13521	H2QJI6
Q9BXW7	H2QL70
P13798	H2QMM0
P63316	H2QMR7
P09455	H2QNH2
Q6ZWB6	H2QPE1
O95715	H2QRJ0
P0C7A2	H2QS21
Q9HD26	H2QTM9
Q9NRH1	H2QUG5
P05937	H2QWE8
Q9Y6Q3	H2QXP9
O15431	H2QXQ2
P56177	H2QZL8
B0I1T2	H2R110
O60879	H2R1G5
Q6B0K9	H2R1M1
A8MQ03	H2R2J4
Q03518	H2R2Q4
Q9UJ42	H2R3S3
O75899	H2R3Y0
P11836	H2R5E3
Q2KJY2	H2R7Y5
P16422	H2R8U1
P0C875	H2RD03
Q6ZU52	H2RDX8
A1A5B4	H2RGF5
Q9Y6E0	K7AL57
O15031	K7B3F3
P42345	K7B4P2
Q9BVG8	K7BN79
O94804	K7C2M9
Q8TET4	K7CC93
Q9BV38	K7CE57
Q8WUA8	K7CWG4
P42127	Q1XGV7
Q99218	Q861X8
P04062	Q9BDT0
P15880	A0A2I3RBK9
Q8N7M0	A0A2I3RDF7
Q8NCR6	A0A2I3RIL6
O60806	A0A2I3RJU5
P17302	A0A2I3RQ65
Q13409	A0A2I3RRL1
Q9BUV0	A0A2I3RSY9
Q9Y2G2	A0A2I3RTL0
Q02078	A0A2I3S0F9
Q5HYJ3	A0A2I3S6T1
Q96JA1	A0A2I3S7D4
A0A1B0GVG4	A0A2I3SAG6
P18124	A0A2I3SQ40
P35813	A0A2I3STA3
Q7RTT4	A0A2I3SU77
Q8NBJ9	A0A2I3T993
P0DPE3	A0A2I3TAC8
Q52WX2	A0A2I3TQ93
C9JFL3	A0A2I3TUA0
Q92934	A0A2I3TX80
P16871	A0A2J8JSC3
Q96MM3	A0A2J8L7X1
P20794	A0A2J8MTK9
Q96Q35	A0A2J8N561
Q8TBZ5	A0A2J8PAN0
Q13751	A0A2J8QVK7
Q5BIV9	A2BDG1
Q14206	A5A6I8
Q13007	H2Q108
Q96LT6	H2Q124
Q9UMX5	H2Q139
Q86YD5	H2Q3F1
Q8NGE9	H2Q3P8
Q9NS15	H2Q433
Q6PCE3	H2Q4E1
Q13490	H2Q4M6
P30047	H2Q968
O43315	H2Q9I3
Q9H4L4	H2QC45
Q13207	H2QDL3
Q9BT23	H2QDN1
O60292	H2QG77
Q9UJT2	H2QGW2
O43924	H2QJL5
Q14508	H2QKF8
Q9NZ20	H2QLI2
Q9NS69	H2QLN9
Q8IYJ1	H2QM06
Q9H649	H2QMZ2
O43567	H2QNK4
Q9UJT9	H2QQN9
Q3ZCQ2	H2QQU2
O00472	H2QR91
P49069	H2QRI2
Q9ULW3	H2QSH8
Q4G0A6	H2QUD5
O00291	H2QUS3
O94830	H2QW15
P07711	H2QXF0
Q9Y573	H2R1P8
Q9NXH8	H2R2W6
P15311	H2R370
P06756	H2R6C3
Q8N158	H2RBR7
P43629	H2RC64
Q8IWV8	K7ADR9
Q14123	K7AUM1
Q86TL2	K7AWT7
O43187	K7B3M0
Q8NBW4	K7B7N6
Q96AC1	K7B954
O15554	K7BT53
P60983	K7BV28
O43463	K7BV56
Q6V0I7	K7CJ58
Q6P9H4	K7CKH7
Q16576	K7CYV4
Q9P2K3	K7D3S1
P12270	K7D5A9
Q9H2Y7	K7DGJ5
O15409	Q8MJA0
Q86Y79	A0A2I3RMH2
Q9BXT6	A0A2I3RNJ9
Q8IUG5	A0A2I3RVH0
P50052	A0A2I3S7W4
P48050	A0A2I3S9P0
Q9P246	A0A2I3SDZ3
Q9Y2R2	A0A2I3SEU6
P15169	A0A2I3SR55
Q6UXI9	A0A2I3TAM7
Q9H201	A0A2I3TBR5
A0A1B0GUY1	A0A2I3TJF0
Q96NL0	A0A2I3TUT6
Q96B26	A0A2J8MLI8
O15083	A0A2J8P806
P78396	G2HFV8
Q9BV99	G2HI00
Q96R05	H2PXZ3
Q96KC2	H2Q1P8
O95848	H2Q907
O60320	H2Q922
Q15650	H2Q9K9
Q8WV41	H2Q9U6
Q8IYM1	H2QAI5
P25713	H2QB50
Q99567	H2QC02
Q14258	H2QDH5
O00295	H2QGT1
Q92519	H2QHG3
Q9H902	H2QIA4
Q9NS40	H2QIW5
P13010	H2QJD3
Q13424	H2QK69
Q9Y3B1	H2QKP1
Q969S8	H2QLX7
A1A4F0	H2QNN0
Q13177	H2QP14
P35070	H2QPP5
Q9H082	H2QQ67
P00374	H2QR61
P38646	H2QRK8
O75751	H2QU04
Q8IUX7	H2QUI1
Q8IYE0	H2QUT8
Q8IZ16	H2QV28
P00540	H2QW68
Q9UQ26	H2QWJ7
Q14117	H2QWJ9
Q9UK96	H2QXA1
Q8IXL7	H2QZL3
Q2M385	H2R121
Q8NFR9	H2R1I7
Q5HY64	H2R4S2
Q9HCE7	H2R545
P22352	H2R580
Q96DS6	H2R5E5
Q9H2J1	H2R5Z0
Q68DL7	H2R6P8
Q8N2R8	H2R7V0
Q70EL3	H2R8E2
O43251	H2RD17
O95201	K7AXE4
Q8TDN6	K7BDK1
Q6ZT07	K7BPQ8
Q96FA7	K7BQW5
Q9P267	K7BRU5
Q7Z6M3	K7BY89
O14981	K7CDG3
Q5W0Q7	K7CS96
P54886	K7D0Y1
Q9UK32	K7D2H3
Q9H0M4	K7D4I1
Q8TBX8	K7DDT8
Q3B7T1	K7DL11
P01241	P58756
Q9Y5G9	Q5DRB6
Q9UN66	Q5DRC6
P05067	Q5IS80
Q7RTP0	A0A2I3RBU3
Q07075	A0A2I3RD03
Q9UHH9	A0A2I3RGI8
Q9BQS2	A0A2I3RJ29
Q9Y5X0	A0A2I3RKJ7
P43365	A0A2I3RMC3
Q96N64	A0A2I3RTM1
Q8N823	A0A2I3RYX7
Q14995	A0A2I3S658
P09017	A0A2I3SAW3
Q8TB22	A0A2I3SEK9
Q6TDP4	A0A2I3SJM2
Q96JN8	A0A2I3SSG4
Q9UPP2	A0A2I3SW02
O43173	A0A2I3SZH6
Q6P4A7	A0A2I3T3J5
Q5VVJ2	A0A2I3T5K9
Q53EP0	A0A2I3T6Y4
Q5T5N4	A0A2I3TBG0
P62899	A0A2I3TMX4
P0DKL9	A0A2I3TQS5
Q96RG2	A0A2J8IUW6
Q68DA7	A0A2J8JB39
Q70E73	A0A2J8N5K5
Q9BXJ2	A0A2J8NWG3
Q9HCG1	A0A2J8Q7D1
O00321	A0A2J8QHP8
Q9HB65	G2HJR5
Q6PIV7	H2PY40
O00482	H2Q0V0
Q8NG81	H2Q1H8
O60347	H2Q2A8
Q5VZQ5	H2Q2R0
Q9Y5Y4	H2Q3T0
Q8TDS7	H2Q4A7
P41594	H2Q4J0
Q9HAT2	H2Q512
Q9HCN2	H2Q540
Q5QGZ9	H2Q5E8
Q8NFM4	H2Q832
Q86UW2	H2Q9L7
Q08380	H2QE00
Q719H9	H2QED6
Q8N2U9	H2QER2
Q9Y257	H2QG80
A2RRP1	H2QHG4
P14778	H2QIG4
Q9HB29	H2QIG5
Q9P2E8	H2QJD4
Q9H9F9	H2QKC7
Q9H1P6	H2QKN3
O60704	H2QLE8
Q5SQI0	H2QSM2
Q8IWT3	H2QT22
P49640	H2QUC2
Q9BUA6	H2QV56
O75330	H2QZL6
P28289	H2R086
O95153	H2R113
Q8NEC7	H2R3L6
Q9P1P5	H2R6Y0
Q13085	H2R9M5
Q3MIP1	H2RAC3
Q9NX36	H2RAJ2
Q8NFT6	H2RCG6
Q6ZMB0	H2RCH0
B4DXR9	H2RG74
P17081	K6ZDK4
P51648	K7A0X5
Q7Z5J1	K7AN25
Q9BRB3	K7AP83
Q8TD55	K7BB18
Q9HD40	K7BSH1
Q13232	K7BSW8
P41229	K7CC05
Q9P0W2	K7CYZ5
Q9UPN6	K7DIR5
Q7Z4S6	A0A2I3RD63
P38919	A0A2I3RG70
A0A286YEX9	A0A2I3RHE1
Q9BV23	A0A2I3RNM9
Q9H0F7	A0A2I3RPA7
P25021	A0A2I3RRR1
Q96K78	A0A2I3RTE0
Q5W041	A0A2I3RVQ5
P62424	A0A2I3S962
Q9NQS3	A0A2I3SDV6
P54826	A0A2I3SJR6
Q8NGY9	A0A2I3SQB0
Q9Y4G8	A0A2I3SQG1
Q9Y6M0	A0A2I3SRK3
Q8N9W4	A0A2I3SSL6
A0A5B6	A0A2I3SZD5
Q5SYE7	A0A2I3T3B2
P29508	A0A2I3TH08
Q9UN81	A0A2I3THZ4
O15327	A0A2J8K2X7
Q9H0W9	A0A2J8L1N6
Q8WZ84	A0A2J8N1S1
H0YL14	A0A2J8NA19
A1YPR0	A0A2J8NED9
Q8NE71	A0A2K6HP22
Q5VZ18	H2Q054
Q8WWB7	H2Q094
P54821	H2Q0L1
Q4LE39	H2Q1D6
